都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
1,北海道,393,305,499,1206,,,,49,260,0,0,39,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
2,青森県,9,9,99,225,,,,0,30,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
3,岩手県,0,0,38,166,,,,0,ー,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
4,宮城県,43,26,388,400,,,,7,200,10,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
5,秋田県,6,6,105,105,,,,0,16,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
6,山形県,28,28,150,150,,,,0,ー,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
7,福島県,50,48,229,800,,,,2,200,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
8,茨城県,131,68,151,600,,,,33,175,29,1,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
9,栃木県,39,37,130,250,,,,0,111,2,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
10,群馬県,105,105,152,180,,,,0,150,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
11,埼玉県,684,277,575,600,,,,53,1055,354,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
12,千葉県,644,296,807,1700,,,,13,526,258,73,4,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
13,東京都,2668,1832,3300,4000,,,,198,2865,635,3,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
14,神奈川県,542,217,1082,2800,,,,74,2303,251,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
15,新潟県,38,38,411,766,,,,0,50,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
16,富山県,146,104,500,500,,,,10,100,9,23,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
17,石川県,204,150,170,170,,,,50,170,0,0,4,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
18,福井県,49,48,122,350,,,,1,115,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
19,山梨県,21,21,80,400,,,,0,21,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
20,長野県,50,50,300,300,,,,0,200,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
21,岐阜県,75,73,353,458,,,,0,265,2,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
22,静岡県,27,27,200,200,,,,0,ー,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
23,愛知県,218,176,445,1500,,,,28,1300,14,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
24,三重県,25,25,171,171,,,,0,64,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
25,滋賀県,64,51,109,2000,,,,10,62,3,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
26,京都府,137,,252,400,,,,24,338,,0,113,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
27,大阪府,1047,580,1074,3000,,,,135,1565,332,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
28,兵庫県,348,258,509,509,,,,90,578,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
29,奈良県,45,42,240,500,,,,3,108,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
30,和歌山県,29,29,117,124,,,,0,ー,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
31,鳥取県,2,2,322,300,,,,0,412,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
32,島根県,20,20,253,253,,,,0,45,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
33,岡山県,12,12,117,300,,,,0,ー,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
34,広島県,125,80,194,270,,,,4,130,3,38,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
35,山口県,8,8,320,320,,,,0,594,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
36,徳島県,1,1,130,200,,,,0,200,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
37,香川県,20,20,43,125,,,,0,101,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
38,愛媛県,17,14,70,200,,,,3,67,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
39,高知県,28,17,77,200,,,,11,16,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
40,福岡県,395,217,430,1800,,,,88,826,81,9,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
41,佐賀県,28,26,111,150,,,,2,230,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
42,長崎県,8,8,102,903,,,,0,ー,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
43,熊本県,34,34,312,312,,,,0,ー,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
44,大分県,25,25,258,300,,,,0,65,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
45,宮崎県,7,7,106,231,,,,0,150,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
46,鹿児島県,6,6,253,253,,,,0,188,0,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
47,沖縄県,110,91,225,430,,,,18,262,1,0,0,2020-05-01,https://www.mhlw.go.jp/content/10900000/000633756.pdf
