"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","0","0","0","0",,,,
"2020-03-19","0","0","0","0",,,,
"2020-03-20","0","0","0","0",,,,
"2020-03-21","0","0","0","0",,,,
"2020-03-22","0","0","0","0",,,,
"2020-03-23","0","0","0","0",,,,
"2020-03-24","0","0","0","0",,,,
"2020-03-25","0","0","0","0",,,,
"2020-03-26","0","0","0","0",,,,
"2020-03-27","0","0","0","0",,,,
"2020-03-28","0","0","0","0",,,,
"2020-03-29","0","0","0","0",,,,
"2020-03-30","0","0","0","0",,,,
"2020-03-31","1","1","0","0",,,,
"2020-04-01","1","1","0","0",,,,
"2020-04-02","1","1","0","0",,,,
"2020-04-03","1","1","0","0",,,,
"2020-04-04","6","6","0","0",,,,
"2020-04-05","10","10","0","0",,,,
"2020-04-06","13","13","0","0",,,,
"2020-04-07","19","19","0","0",,,,
"2020-04-08","22","22","0","0",,,,
"2020-04-09","27","27","0","0",,,,
"2020-04-10","27","27","0","0",,,,
"2020-04-11","32","32","0","0",,,,
"2020-04-12","34","34","0","0",,,,
"2020-04-13","35","35","0","0",,,,
"2020-04-14","39","39","0","0",,,,
"2020-04-15","45","45","0","0",,,,
"2020-04-16","50","50","0","0",,,,
"2020-04-17","58","58","0","0",,,,
"2020-04-18","60","50","10","0",,,,
"2020-04-19","61","51","10","0",,,,
"2020-04-20","64","49","15","0",,,,
"2020-04-21","64","47","17","0",,,,
"2020-04-22","65","48","17","0",,,,
"2020-04-23","65","48","17","0",,,,
"2020-04-24","66","49","17","0",,,,
"2020-04-25","66","34","32","0",,,,
"2020-04-26","66","34","32","0",,,,
"2020-04-27","66","28","38","0",,,,
"2020-04-28","66","28","38","0",,,,
"2020-04-29","68","30","38","0",,,,
"2020-04-30","68","30","38","0",,,,
"2020-05-01","68","20","48","0",,,,
"2020-05-02","68","18","50","0",,,,
"2020-05-03","68","15","53","0",,,,
"2020-05-04","69","15","54","0",,,,
"2020-05-05","69","15","54","0",,,,
"2020-05-06","69","15","54","0",,,,
"2020-05-07","69","15","54","0",,,,
"2020-05-08","69","13","56","不明","不明","0","2401",
"2020-05-09","69","13","56","-","-","0","2432",
"2020-05-10","69","11","58","-","-","0","2449",
"2020-05-11","69","11","58","-","-","0","2456",
"2020-05-12","69","11","58","0","2","0","2481",
"2020-05-13","69","11","58","0","2","0","2514",
"2020-05-14","69","11","58","0","2","0","2525",
"2020-05-15","69","11","58","0","2","0","2541",
"2020-05-16","69","11","58","0","2","0","2552",
"2020-05-17","69","11","58","0","2","0","2560",
"2020-05-18","69","11","58","0","2","0","2562",
"2020-05-19","69","11","58","0","2","0","2576",
"2020-05-20","69","11","58","0","2","0","2588",
"2020-05-21","69","6","63","0","2","0","2598",
"2020-05-22","69","5","64","0","1","0","2606",
"2020-05-23","69","5","64","0","1","0","2615",
"2020-05-24","69","5","64","0","1","0","2620",
"2020-05-25","69","4","65","0","1","0","2622",
"2020-05-26","69","3","66","0","1","0","2629",
"2020-05-27","69","3","66","0","1","0","2640",
"2020-05-28","69","3","66","0","1","0","2644",
"2020-05-29","69","3","66","0","1","0","2650",
"2020-05-30","69","3","66","0","1","0","2656",
"2020-05-31","69","3","66","0","1","0","2659",
"2020-06-01","69","3","66","0","1","0","2660",
"2020-06-02","69","3","66","0","1","0","2665",
"2020-06-03","69","3","66","0","1","0","2412",
"2020-06-04","69","3","66","0","1","0","2422",
"2020-06-05","69","3","66","0","1","0","2440",
"2020-06-06","69","2","67","0","1","0","2444",
"2020-06-07","69","2","67","0","1","0","2452",
"2020-06-08","69","2","67","0","1","0","2454",
"2020-06-09","69","2","67","0","1","0","2459",
"2020-06-10","69","2","67","0","1","0","2463",
"2020-06-11","69","2","67","0","1","0","2470",
"2020-06-12","69","2","67","0","1","0","2474",
"2020-06-13","69","2","67","0","1","0","2475",
"2020-06-14","69","2","67","0","1","0","2479",
"2020-06-15","69","1","68","0","1","0","2479",
"2020-06-16","69","1","68","0","1","0","2482",
"2020-06-17","69","1","68","0","1","0","2487",
"2020-06-18","69","1","68","0","1","0","2491",
"2020-06-19","69","1","68","0","1","0","2496",
"2020-06-20","69","1","68","0","1","0","2498",
"2020-06-21","69","1","68","0","1","0","2503",
"2020-06-22","69","1","68","0","1","0","2505",
"2020-06-23","69","1","68","0","1","0","2505",
"2020-06-24","69","1","68","0","1","0","2509",
"2020-06-25","69","1","68","0","1","0","2518",
"2020-06-26","69","1","68","0","1","0","2526",
"2020-06-27","69","1","68","0","1","0","2526",
"2020-06-28","69","1","68","0","1","0","2533",
"2020-06-29","69","1","68","0","1","0","2538",
"2020-06-30","69","1","68","0","1","0","2541",
"2020-07-01","69","1","68","0","1","0","2544",
"2020-07-02","69","1","68","0","1","0","2549",
"2020-07-03","69","1","68","0","1","0","2562",
"2020-07-04","69","1","68","0","1","0","2566",
"2020-07-05","70","1","68","0","1","1","2573",
"2020-07-06","71","4","68","0","1","1","2583",
"2020-07-07","71","4","68","0","1","1","2595",
"2020-07-08","71","3","68","1","0","1","2609",
"2020-07-09","71","3","68","1","0","1","2618",
"2020-07-10","71","3","68","1","0","1","2621",
"2020-07-11","71","3","68","1","0","1","2626",
"2020-07-12","71","3","68","1","0","1","2639",
"2020-07-13","72","3","68","1","0","0","2642",
"2020-07-14","73","3","70","1","0","1","2659",
"2020-07-15","74","4","70","1","0","1","2674",
"2020-07-16","74","4","70","1","0","1","2719",
"2020-07-17","75","5","70","1","0","1","2772",
"2020-07-18","75","4","71","1","0","1","2803",
"2020-07-19","75","4","71","1","0","1","2817",
"2020-07-20","75","3","72","1","0","1","2822",
"2020-07-21","75","3","72","1","0","1","2826",
"2020-07-22","75","3","72","1","0","1","2832",
"2020-07-23","75","3","72","1","0","1","2841",
"2020-07-24","75","3","72","1","0","1","2845",
"2020-07-25","75","2","73","1","0","1","2851",
"2020-07-26","75","2","73","1","0","1","2856",
"2020-07-27","75","2","73","1","0","1","2864",
"2020-07-28","75","1","74","1","0","1","2869",
"2020-07-29","75","1","74","1","0","1","2875",
"2020-07-30","75","1","74","1","0","1","2882",
"2020-07-31","76","1","75","1","0","1","2894",
"2020-08-01","76","1","75","1","0","1","2911",
"2020-08-02","76","1","75","1","0","1","2918",
"2020-08-03","76","1","75","1","0","1","2924",
"2020-08-04","76","1","75","1","0","1","2934",
"2020-08-05","76","1","75","1","0","1","2941",
"2020-08-06","76","1","75","1","0","1","2946",
"2020-08-07","76","1","75","1","0","1","2959",
"2020-08-08","76","1","75","1","0","1","2966",
"2020-08-09","76","1","75","1","0","1","2975",
"2020-08-10","76","1","75","1","0","1","2978",
"2020-08-11","76","1","75","1","0","1","2983",
"2020-08-12","76","1","75","1","0","1","2984",
"2020-08-13","76","1","75","1","0","1","2993",
"2020-08-14","76","1","75","1","0","1","2995",
"2020-08-15","76","0","76","1","0","1","2997",
"2020-08-16","76","0","76","1","0","1","3002",
"2020-08-17","76","0","76","1","0","1","3005",
"2020-08-18","76","0","76","1","0","1","3007",
"2020-08-19","76","0","76","1","0","1","3015",
"2020-08-20","77","1","76","1","0","1","3028",
"2020-08-21","77","1","76","1","0","1","3032",
"2020-08-22","77","1","76","1","0","1","3041",
"2020-08-23","77","1","76","1","0","1","3055",
"2020-08-24","77","1","76","1","0","1","3075",
"2020-08-25","77","1","76","1","0","1","3076",
"2020-08-26","77","1","76","1","1","1","3084",
"2020-08-27","77","1","76","1","1","1","3091",
"2020-08-28","77","1","76","1","1","1","3093",
"2020-08-29","77","1","76","1","1","1","3094",
"2020-08-30","78","2","76","1","1","1","3100",
"2020-08-31","78","2","76","1","1","1","3101",
"2020-09-01","78","2","76","1","1","1","3105",
"2020-09-02","78","2","76","1","1","1","3115",
"2020-09-03","78","2","76","1","1","1","3122",
"2020-09-04","78","2","76","1","1","1","3123",
"2020-09-05","78","2","76","1","1","1","3126",
"2020-09-06","78","2","76","1","1","1","3129",
"2020-09-07","78","2","76","1","1","1","3130",
"2020-09-08","78","2","76","1","1","1","3133",
"2020-09-09","78","2","76","1","1","1","3137",
"2020-09-10","78","2","76","1","1","1","3138",
"2020-09-11","78","2","76","1","1","1","3144",
"2020-09-12","78","2","76","1","1","1","3148",
"2020-09-13","78","2","76","1","1","1","3151",
"2020-09-14","78","2","76","1","1","1","4895",
"2020-09-15","78","2","76","1","1","1","5006",
"2020-09-16","78","2","76","1","1","1","5011",
"2020-09-17","78","2","76","1","1","1","5019",
"2020-09-18","78","2","76","1","1","1","5024",
"2020-09-19","78","2","76","1","1","1","5026",
"2020-09-20","78","2","76","1","1","1","5035",
"2020-09-21","78","2","76","1","1","1","5038",
"2020-09-22","78","2","76","1","1","1","5038",
"2020-09-23","78","2","76","1","1","1","5062",
"2020-09-24","78","2","76","1","1","1","5079",
"2020-09-25","78","2","76","1","1","1","5094",
"2020-09-26","78","2","76","1","1","1","5098",
"2020-09-27","78","2","76","1","1","1","5102",
"2020-09-28","78","2","76","1","1","1","5127",
"2020-09-29","78","2","76","1","1","1","5149",
"2020-09-30","78","2","76","1","1","1","5164",
"2020-10-01","78","2","76","1","0","1","5169",
"2020-10-02","78","1","77","1","0","1","5184",
"2020-10-03","78","1","77","1","0","1","5186",
"2020-10-04","78","1","77","1","0","1","5195",
"2020-10-05","78","1","77","1","0","1","5203",
"2020-10-06","78","1","76","1","0","0","5225",
"2020-10-07","78","1","76","1","0","0","5236",
"2020-10-08","79","2","76","1","0","0","5253",
"2020-10-09","81","4","76","1","0","0","5276",
"2020-10-10","81","4","76","1","0","0","5281",
"2020-10-11","81","4","76","1","0","0","5283",
"2020-10-12","81","3","77","1","0","0","5294",
"2020-10-13","81","3","77","1","0","0","5298",
"2020-10-14","81","3","77","1","0","0","5319",
"2020-10-15","81","3","77","1","0","0","5326",
"2020-10-16","81","2","78","1","0","0","5335",
"2020-10-17","81","2","78","1","0","0","5335",
"2020-10-18","81","2","78","1","0","0","5338",
"2020-10-19","81","2","78","1","0","0","5370",
"2020-10-20","81","1","79","1","0","0","5455",
"2020-10-21","81","1","79","1","0","0","5608",
"2020-10-22","82","2","79","1","0","0","5700",
"2020-10-23","84","4","79","1","0","0","5758",
"2020-10-24","84","4","79","1","0","0","5761",
"2020-10-25","84","4","79","1","0","0","5761",
"2020-10-26","84","4","79","1","0","0","5869",
"2020-10-27","86","6","79","1","0","0","5917",
"2020-10-28","86","5","80","1","0","0","5995",
"2020-10-29","86","5","80","1","0","0","6031",
"2020-10-30","86","5","80","1","0","0","6112",
"2020-10-31","86","5","80","1","0","0","6112",
"2020-11-01","86","5","80","1","0","0","6113",
"2020-11-02","86","5","80","1","0","0","6231",
"2020-11-03","86","5","80","1","0","0","6231",
"2020-11-04","86","4","81","1","0","0","6330",
"2020-11-05","86","4","81","1","0","0","6560",
"2020-11-06","86","4","81","1","0","0","6747",
"2020-11-07","86","4","81","1","0","0","6749",
"2020-11-08","87","5","81","1","0","0","6750",
"2020-11-09","88","6","81","1","0","0","6810",
"2020-11-10","89","7","81","1","0","0","6831",
"2020-11-11","92","10","81","1","0","0","6856",
"2020-11-12","94","12","81","1","0","0","6905",
"2020-11-13","94","12","81","1","0","0","6981",
"2020-11-14","96","12","83","1","0","0","6994",
"2020-11-15","97","12","84","1","0","0","6999",
"2020-11-16","98","13","84","1","0","0","7037",
"2020-11-17","98","13","84","1","0","0","7046",
"2020-11-18","100","14","85","1","0","0","7078",
"2020-11-19","105","19","85","1","0","0","7126",
"2020-11-20","107","20","86","1","0","0","7144",
"2020-11-21","107","19","88","1","0","1","7184",
"2020-11-22","109","20","89","1","0","1","7233",
"2020-11-23","109","20","89","1","0","1","7236",
"2020-11-24","109","20","89","1","0","1","7282",
"2020-11-25","110","17","93","1","0","1","7344",
"2020-11-26","111","13","97","1","1","0","7374",
"2020-11-27","116","13","97","1","1","5","7409",
"2020-11-28","122","21","98","1","1","2","7425",
"2020-11-29","133","26","100","1","1","6","7460",
"2020-11-30","135","33","101","1","1","0","7530",
"2020-12-01","138","30","107","1","1","0","7609",
"2020-12-02","141","31","109","1","1","0","7663",
"2020-12-03","149","36","112","1","1","0","7717",
"2020-12-04","152","29","122","1","1","0","7773",
"2020-12-05","158","33","124","1","1","0","7934",
"2020-12-06","173","47","125","1","1","0","8120",
"2020-12-07","177","49","127","1","1","0","8284",
"2020-12-08","186","56","129","1","1","0","8531",
"2020-12-09","196","61","134","1","1","0","8585",
"2020-12-10","211","72","138","1","1","0","8725",
"2020-12-11","218","72","145","1","1","0","8932",
"2020-12-12","240","90","149","1","1","0","9006",
"2020-12-13","253","103","149","1","1","0","9068",
"2020-12-14","265","115","149","1","1","0","9181",
"2020-12-15","281","126","154","1","1","0","9248",
"2020-12-16","290","118","171","1","1","0","9361",
"2020-12-17","296","118","177","1","1","0","9449",
"2020-12-18","302","108","192","2","2","0","9487",
"2020-12-19","302","108","192","2","2","0","9487",
"2020-12-20","302","108","192","2","2","0","9487",
"2020-12-21","324","104","217","3","5","0","9645",
"2020-12-22","330","101","226","3","5","0","9675",
"2020-12-23","334","98","233","3","5","0","9710",
"2020-12-24","345","99","243","3","6","0","9840",
"2020-12-25","355","103","249","3","6","0","9902",
"2020-12-26","361","93","264","4","6","0","9985",
"2020-12-27","365","86","275","4","6","0","10057",
"2020-12-28","369","84","280","5","6","0","10097",
"2020-12-29","378","84","288","6","6","0","10101",
"2020-12-30","382","84","292","6","6","0","10103",
"2020-12-31","387","77","304","6","6","0","10176",
"2021-01-01","390","80","303","7","6","0","10179",
"2021-01-02","391","79","303","9","6","0","10180",
"2021-01-03","397","71","317","9","6","0","10193",
"2021-01-04","402","72","321","9","5","0","10378",
"2021-01-05","407","66","332","9","5","0","10445","JP-06"
"2021-01-06","417","68","340","9","5","0","10710","JP-06"
"2021-01-07","418","64","345","9","4","0","10866","JP-06"
"2021-01-08","422","58","355","9","4","0","11028","JP-06"
"2021-01-09","422","58","355","9","4","0","11028","JP-06"
"2021-01-10","433","62","361","10","4","0","11075","JP-06"
"2021-01-11","434","62","362","10","4","0","11085","JP-06"
"2021-01-12","435","61","364","10","3","0","11313","JP-06"
"2021-01-13","435","59","365","11","2","0","11369","JP-06"
"2021-01-14","438","57","369","12","2","0","11523","JP-06"
"2021-01-15","440","52","376","12","2","0","11642","JP-06"
"2021-01-16","442","47","382","13","2","0","11649","JP-06"
"2021-01-17","443","41","389","13","2","0","11682","JP-06"
"2021-01-18","443","34","396","13","3","0","11708","JP-06"
"2021-01-19","447","34","400","13","0","0","12104","JP-06"
"2021-01-20","453","39","401","13","1","0","12321","JP-06"
"2021-01-21","455","38","404","13","1","0","12635","JP-06"
"2021-01-22","456","32","411","13","1","0","12970","JP-06"
"2021-01-23","457","32","412","13","1","0","13066","JP-06"
"2021-01-26","463","32","418","13","2","0","13473","JP-06"
"2021-01-27","473","38","422","13","2","0","13706","JP-06"
"2021-01-28","480","40","427","13","2","0","13913","JP-06"
"2021-01-29","487","44","430","13","2","0","14043","JP-06"
"2021-01-30","500","54","433","13","2","0","14104","JP-06"
"2021-01-31","503","56","434","13","2","0","14118","JP-06"
"2021-02-01","506","58","435","13","2","0","14452","JP-06"
"2021-02-02","510","61","436","13","2","0","14690","JP-06"
"2021-02-03","513","59","441","13","2","0","15189","JP-06"
"2021-02-04","516","61","442","13","2","0","15497","JP-06"
"2021-02-05","519","63","443","13","1","0","15731","JP-06"
"2021-02-06","526","58","455","13","1","0","15770","JP-06"
"2021-02-07","526","56","457","13","1","0","15793","JP-06"
"2021-02-08","526","51","462","13","1","0","16088","JP-06"
"2021-02-09","527","47","467","13","1","0","16108","JP-06"
"2021-02-10","531","41","476","14","0","0","16338","JP-06"
"2021-02-11","531","36","481","14","0","0","16351","JP-06"
"2021-02-12","531","35","481","15","0","0","16500","JP-06"
"2021-02-13","532","28","489","15","0","0","16505","JP-06"
"2021-02-14","534","28","491","15","0","0","16510","JP-06"
"2021-02-15","534","28","491","15","0","0","16610","JP-06"
"2021-02-16","534","26","493","15","0","0","16641","JP-06"
"2021-02-17","534","19","500","15","0","0","16817","JP-06"
"2021-02-18","535","18","502","15","0","0","16960","JP-06"
"2021-02-19","537","19","503","15","0","0","17055","JP-06"
"2021-02-20","537","17","505","15","0","0","17064","JP-06"
"2021-02-21","537","15","507","15","0","0","17066","JP-06"
"2021-02-22","537","15","507","15","0","0","17236","JP-06"
"2021-02-23","537","11","511","15","0","0","17236","JP-06"
"2021-02-24","538","12","511","15","0","0","17288","JP-06"
"2021-02-25","542","16","511","15","0","0","17326","JP-06"
"2021-02-26","542","15","512","15","0","0","17479","JP-06"
"2021-02-27","543","15","513","15","0","0","17479","JP-06"
"2021-02-28","543","14","514","15","0","0","17488","JP-06"
"2021-03-01","543","14","514","15","0","0","27496","JP-06"
"2021-03-02","543","13","515","15","0","0","27509","JP-06"
"2021-03-03","543","13","515","15","0","0","27684","JP-06"
"2021-03-04","543","12","516","15","0","0","27811","JP-06"
"2021-03-05","543","12","516","15","0","0","27916","JP-06"
"2021-03-06","543","12","516","15","0","0","27916","JP-06"
"2021-03-07","543","7","521","15","0","0","27926","JP-06"
"2021-03-08","544","7","522","15","0","0","28517","JP-06"
"2021-03-09","545","8","522","15","0","0","28530","JP-06"
"2021-03-10","545","8","522","15","0","0","28715","JP-06"
"2021-03-11","553","16","522","15","0","0","28850","JP-06"
"2021-03-12","553","16","522","15","0","0","28967","JP-06"
"2021-03-13","553","15","523","15","0","0","28974","JP-06"
"2021-03-14","554","15","524","15","0","0","28975","JP-06"
"2021-03-15","557","18","524","15","0","0","29564","JP-06"
"2021-03-16","561","22","524","15","0","0","29610","JP-06"
"2021-03-17","565","24","526","15","0","0","29801","JP-06"
"2021-03-18","576","33","527","16","0","0","30015","JP-06"
"2021-03-19","594","49","529","16","0","0","30221","JP-06"
"2021-03-20","615","68","531","16","0","0","30230","JP-06"
"2021-03-21","646","92","538","16","0","0","30356","JP-06"
"2021-03-22","667","113","538","16","0","0","31251","JP-06"
"2021-03-23","687","131","540","16","0","0","31472","JP-06"
"2021-03-24","703","145","542","16","0","0","32037","JP-06"
"2021-03-25","752","187","549","16","0","0","32410","JP-06"
"2021-03-26","786","215","555","16","0","0","32763","JP-06"
"2021-03-27","831","245","570","16","0","0","32862","JP-06"
"2021-03-28","865","273","576","16","0","0","32888","JP-06"
"2021-03-29","888","288","584","16","0","0","34310","JP-06"
"2021-03-30","915","303","596","16","1","0","34475","JP-06"
"2021-03-31","948","315","617","16","1","0","35071","JP-06"
"2021-04-01","972","305","650","17","1","0","35456","JP-06"
"2021-04-02","995","317","661","17","1","0","35828","JP-06"
"2021-04-03","1012","301","694","17","1","0","35941","JP-06"
"2021-04-04","1033","303","713","17","1","0","36006","JP-06"
"2021-04-05","1052","278","757","17","1","0","37520","JP-06"
"2021-04-06","1077","274","786","17","1","0","37680","JP-06"
"2021-04-07","1106","238","851","17","2","0","38147","JP-06"
"2021-04-08","1129","236","876","17","2","0","38451","JP-06"
"2021-04-09","1153","244","892","17","4","0","38748","JP-06"
"2021-04-10","1186","240","928","18","4","0","38820","JP-06"
"2021-04-11","1197","247","932","18","4","0","38846","JP-06"
"2021-04-12","1225","270","935","20","4","0","40589","JP-06"
"2021-04-13","1242","274","946","22","3","0","40714","JP-06"
"2021-04-14","1258","253","983","22","3","0","40885","JP-06"
"2021-04-15","1288","252","1014","22","3","0","41178","JP-06"
"2021-04-16","1307","247","1036","24","3","0","41495","JP-06"
"2021-04-17","1323","243","1054","26","4","0","41557","JP-06"
"2021-04-18","1331","250","1054","27","4","0","41557","JP-06"
"2021-04-19","1349","241","1080","28","4","0","43463","JP-06"
"2021-04-20","1361","210","1122","29","5","0","43660","JP-06"
"2021-04-21","1381","201","1150","30","5","0","44283","JP-06"
"2021-04-22","1390","192","1168","30","5","0","44638","JP-06"
"2021-04-23","1411","192","1189","30","5","0","44981","JP-06"
"2021-04-24","1423","182","1211","30","5","0","44988","JP-06"
"2021-04-25","1441","182","1227","32","5","0","44992","JP-06"
"2021-04-26","1460","195","1233","32","5","0","46448","JP-06"
"2021-04-27","1467","179","1256","32","4","0","46717","JP-06"
"2021-04-28","1467","179","1256","32","4","0","47220","JP-06"
"2021-04-29","1504","179","1293","32","4","0","47220","JP-06"
"2021-04-30","1513","188","1293","32","4","0","47660","JP-06"
"2021-05-01","1523","183","1308","32","3","0","47753","JP-06"
"2021-05-02","1530","171","1326","33","3","0","47759","JP-06"
"2021-05-03","1538","173","1332","33","4","0","47759","JP-06"
"2021-05-04","1550","164","1352","34","4","0","47836","JP-06"
"2021-05-05","1571","181","1356","34","4","0","47885","JP-06"
"2021-05-06","1577","163","1379","35","3","0","49583","JP-06"
"2021-05-07","1583","133","1415","35","3","0","49720","JP-06"
"2021-05-08","1591","120","1436","35","5","0","49727","JP-06"
"2021-05-09","1599","119","1444","36","6","0","49728","JP-06"
"2021-05-10","1608","122","1450","36","6","0","50457","JP-06"
"2021-05-11","1622","127","1459","36","6","0","50582","JP-06"
"2021-05-12","1638","129","1472","37","6","0","50974","JP-06"
"2021-05-13","1659","146","1476","37","5","0","51384","JP-06"
"2021-05-14","1681","162","1482","37","5","0","51802","JP-06"
"2021-05-15","1702","163","1502","37","5","0","51920","JP-06"
"2021-05-16","1715","175","1503","37","5","0","52037","JP-06"
"2021-05-17","1729","187","1505","37","5","0","54144","JP-06"
"2021-05-18","1751","190","1524","37","5","0","54330","JP-06"
"2021-05-19","1775","195","1543","37","5","0","54650","JP-06"
"2021-05-20","1798","203","1558","37","5","0","54886","JP-06"
"2021-05-21","1820","208","1575","37","5","0","55241","JP-06"
"2021-05-22","1852","234","1581","37","5","0","55306","JP-06"
"2021-05-23","1882","237","1607","38","5","0","55321","JP-06"
"2021-05-24","1896","240","1618","38","5","0","57157","JP-06"
"2021-05-25","1906","227","1641","38","5","0","57266","JP-06"
"2021-05-26","1921","223","1659","39","6","0","57615","JP-06"
"2021-05-27","1932","218","1674","40","6","0","57879","JP-06"
"2021-05-28","1940","208","1692","40","5","0","58114","JP-06"
"2021-05-29","1948","177","1730","41","5","0","58114","JP-06"
"2021-05-30","1956","182","1733","41","5","0","58114","JP-06"
"2021-05-31","1961","168","1752","41","5","0","59630","JP-06"
"2021-06-01","1964","133","1790","41","5","0","59739","JP-06"
"2021-06-02","1971","121","1808","42","4","0","59996","JP-06"
"2021-06-03","1978","117","1818","43","3","0","60117","JP-06"
"2021-06-04","1983","108","1832","43","3","0","60273","JP-06"
"2021-06-05","1990","105","1840","45","3","0","60292","JP-06"
"2021-06-06","1998","104","1849","45","3","0","60292","JP-06"
"2021-06-07","1999","96","1858","45","3","0","61342","JP-06"
"2021-06-08","2000","87","1868","45","4","0","61390","JP-06"
"2021-06-09","2000","70","1884","46","4","0","61630","JP-06"
"2021-06-10","2003","67","1890","46","4","0","61748","JP-06"
"2021-06-11","2004","58","1900","46","3","0","61862","JP-06"
"2021-06-12","2007","58","1903","46","3","0","61862","JP-06"
"2021-06-13","2009","56","1907","46","3","0","61869","JP-06"
"2021-06-15","2012","47","1919","46","2","0","63062","JP-06"
"2021-06-16","2017","48","1923","46","3","0","63255","JP-06"
"2021-06-17","2017","44","1927","46","3","0","63367","JP-06"
"2021-06-18","2017","42","1929","46","3","0","63486","JP-06"
"2021-06-19","2020","39","1935","46","3","0","63506","JP-06"
"2021-06-20","2020","38","1935","47","3","0","63506","JP-06"
"2021-06-21","2020","35","1938","47","3","0","64210","JP-06"
"2021-06-22","2020","30","1943","47","3","0","64223","JP-06"
"2021-06-23","2020","23","1950","47","3","0","64402","JP-06"
"2021-06-24","2020","22","1951","47","2","0","64466","JP-06"
