"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","4","4","0","0",,,,
"2020-03-19","4","4","0","0",,,,
"2020-03-20","4","4","0","0",,,,
"2020-03-21","4","4","0","0",,,,
"2020-03-22","4","4","0","0",,,,
"2020-03-23","5","4","1","0",,,,
"2020-03-24","5","4","1","0",,,,
"2020-03-25","5","4","1","0",,,,
"2020-03-26","6","5","1","0",,,,
"2020-03-27","6","5","1","0",,,,
"2020-03-28","6","5","1","0",,,,
"2020-03-29","6","5","1","0",,,,
"2020-03-30","6","5","1","0",,,,
"2020-03-31","7","5","2","0",,,,
"2020-04-01","8","5","3","0",,,,
"2020-04-02","8","5","3","0",,,,
"2020-04-03","14","11","3","0",,,,
"2020-04-04","17","14","3","0",,,,
"2020-04-05","18","15","3","0",,,,
"2020-04-06","18","15","3","0",,,,
"2020-04-07","18","15","3","0",,,,
"2020-04-08","24","21","3","0",,,,
"2020-04-09","26","23","3","0",,,,
"2020-04-10","34","31","3","0",,,,
"2020-04-11","38","35","3","0",,,,
"2020-04-12","38","35","3","0",,,,
"2020-04-13","40","35","5","0",,,,
"2020-04-14","51","46","5","0",,,,
"2020-04-15","52","47","5","0",,,,
"2020-04-16","57","48","8","1",,,,
"2020-04-17","68","57","10","1",,,,
"2020-04-18","70","59","10","1",,,,
"2020-04-19","71","60","10","1",,,,
"2020-04-20","72","58","13","1",,,,
"2020-04-21","76","62","13","1",,,,
"2020-04-22","88","74","13","1",,,,
"2020-04-23","92","78","13","1",,,,
"2020-04-24","93","79","13","1",,,,
"2020-04-25","94","71","22","1",,,,
"2020-04-26","94","71","22","1",,,,
"2020-04-27","94","71","22","1",,,,
"2020-04-28","94","71","22","1",,,,
"2020-04-29","96","60","35","1",,,,
"2020-04-30","96","60","35","1",,,,
"2020-05-01","96","60","35","1",,,,
"2020-05-02","96","60","35","1",,,,
"2020-05-03","96","60","35","1",,,,
"2020-05-04","98","62","35","1",,,,
"2020-05-05","98","61","36","1",,,,
"2020-05-06","98","61","36","1",,,,
"2020-05-07","98","45","52","1",,,,
"2020-05-08","97","36","60","1","1","0","1419",
"2020-05-09","97","31","65","1","1","0","1444",
"2020-05-10","97","30","66","1","-","0","1456",
"2020-05-11","97","29","67","1","-","0","1462",
"2020-05-12","97","24","72","1","1","0","1490",
"2020-05-13","97","20","76","1","1","0","1490",
"2020-05-14","97","19","77","1","1","0","1529",
"2020-05-15","98","20","77","1","1","0","1556",
"2020-05-16","99","20","78","1","1","0","1582",
"2020-05-17","99","20","78","1","1","0","1596",
"2020-05-18","99","19","79","1","1","0","1599",
"2020-05-19","99","17","81","1","1","0","1623",
"2020-05-20","99","18","80","1","1","0","1649",
"2020-05-21","99","15","83","1","1","0","1668",
"2020-05-22","99","15","83","1","1","0","1686",
"2020-05-23","100","16","83","1","1","0","1714",
"2020-05-24","100","12","87","1","1","0","1718",
"2020-05-25","100","10","89","1","1","0","1721",
"2020-05-26","100","10","89","1","1","0","1743",
"2020-05-27","100","10","89","1","1","0","1776",
"2020-05-28","100","10","89","1","1","0","1804",
"2020-05-29","100","8","91","1","1","0","1822",
"2020-05-30","100","8","91","1","1","0","1852",
"2020-05-31","100","8","91","1","1","0","1856",
"2020-06-01","100","8","91","1","1","0","1859",
"2020-06-02","100","8","91","1","1","0","1874",
"2020-06-03","100","7","92","1","1","0","1896",
"2020-06-04","100","5","94","1","1","0","1911",
"2020-06-05","100","5","94","1","1","0","1931",
"2020-06-06","100","2","97","1","1","0","1957",
"2020-06-07","100","2","97","1","1","0","1967",
"2020-06-08","100","2","97","1","1","0","1970",
"2020-06-09","100","2","97","1","1","0","1978",
"2020-06-10","100","2","97","1","1","0","2003",
"2020-06-11","100","2","97","1","1","0","2024",
"2020-06-12","100","2","97","1","1","0","2039",
"2020-06-13","100","1","98","1","1","0","2077",
"2020-06-14","100","1","98","1","1","0","2089",
"2020-06-15","100","1","98","1","1","0","2091",
"2020-06-16","100","1","98","1","1","0","2099",
"2020-06-17","100","1","98","1","1","0","2133",
"2020-06-18","101","2","98","1","1","0","2148",
"2020-06-19","101","2","98","1","1","0","2172",
"2020-06-20","101","2","98","1","1","0","2212",
"2020-06-21","101","2","98","1","1","0","2214",
"2020-06-22","101","2","98","1","1","0","2239",
"2020-06-23","101","2","98","1","1","0","2244",
"2020-06-24","101","2","98","1","1","0","2270",
"2020-06-25","101","2","98","1","1","0","2285",
"2020-06-26","101","1","99","1","0","0","2310",
"2020-06-27","101","1","99","1","0","0","2340",
"2020-06-28","101","1","99","1","0","0","2344",
"2020-06-29","101","1","99","1","0","0","2345",
"2020-06-30","101","1","99","1","0","0","2353",
"2020-07-01","103","3","99","1","0","0","2379",
