"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","2","1","1","0",,,,
"2020-03-19","2","1","1","0",,,,
"2020-03-20","2","1","1","0",,,,
"2020-03-21","2","1","1","0",,,,
"2020-03-22","2","1","1","0",,,,
"2020-03-23","2","1","1","0",,,,
"2020-03-24","2","1","1","0",,,,
"2020-03-25","2","1","1","0",,,,
"2020-03-26","2","1","1","0",,,,
"2020-03-27","3","2","1","0",,,,
"2020-03-28","4","2","2","0",,,,
"2020-03-29","4","2","2","0",,,,
"2020-03-30","4","2","2","0",,,,
"2020-03-31","9","7","2","0",,,,
"2020-04-01","9","7","2","0",,,,
"2020-04-02","11","9","2","0",,,,
"2020-04-03","11","7","3","1",,,,
"2020-04-04","12","8","3","1",,,,
"2020-04-05","12","8","3","1",,,,
"2020-04-06","14","9","4","1",,,,
"2020-04-07","23","18","4","1",,,,
"2020-04-08","25","20","4","1",,,,
"2020-04-09","26","21","4","1",,,,
"2020-04-10","28","23","4","1",,,,
"2020-04-11","30","25","4","1",,,,
"2020-04-12","30","24","4","2",,,,
"2020-04-13","37","31","4","2",,,,
"2020-04-14","39","33","4","2",,,,
"2020-04-15","40","34","4","2",,,,
"2020-04-16","41","35","4","2",,,,
"2020-04-17","41","35","4","2",,,,
"2020-04-18","44","36","5","3",,,,
"2020-04-19","45","34","8","3",,,,
"2020-04-20","46","34","9","3",,,,
"2020-04-21","47","35","9","3",,,,
"2020-04-22","47","28","16","3",,,,
"2020-04-23","47","28","16","3",,,,
"2020-04-24","47","24","20","3",,,,
"2020-04-25","47","24","20","3",,,,
"2020-04-26","47","20","24","3",,,,
"2020-04-27","47","20","24","3",,,,
"2020-04-28","47","20","24","3",,,,
"2020-04-29","47","20","24","3",,,,
"2020-04-30","47","19","25","3",,,,
"2020-05-01","47","19","25","3",,,,
"2020-05-02","47","17","27","3",,,,
"2020-05-03","48","14","31","3",,,,
"2020-05-04","48","14","31","3",,,,
"2020-05-05","48","13","32","3",,,,
"2020-05-06","48","13","32","3",,,,
"2020-05-07","48","13","32","3",,,,
"2020-05-08","48","7","38","3","2","0","1238",
"2020-05-09","48","7","38","3","2","0","1238",
"2020-05-10","48","7","38","3","2","0","1238",
"2020-05-11","48","7","38","3","1","0","1276",
"2020-05-12","48","6","39","3","0","0","1284",
"2020-05-13","51","9","39","3","0","0","1305",
"2020-05-14","68","25","40","3","0","0","1393",
"2020-05-15","70","26","41","3","0","0","1441",
"2020-05-16","70","26","41","3","0","0","1441",
"2020-05-17","71","25","43","3","2","0","1600",
"2020-05-18","73","27","43","3","2","0","1695",
"2020-05-19","74","27","44","3","2","0","1768",
"2020-05-20","74","27","44","3","1","0","1781",
"2020-05-21","75","26","45","4","0","0","1796",
"2020-05-22","78","29","45","4","0","0","1824",
"2020-05-23","79","30","45","4","0","0","1831",
"2020-05-24","80","31","45","4","0","0","1912",
"2020-05-25","81","32","45","4","0","0","1915",
"2020-05-26","81","32","45","4","0","0","1959",
"2020-05-27","81","30","47","4","1","0","1982",
"2020-05-28","82","29","49","4","1","0","2046",
"2020-05-29","82","28","50","4","1","0","2074",
"2020-05-30","82","28","50","4","1","0","2074",
"2020-05-31","82","28","50","4","1","0","2074",
"2020-06-01","82","26","52","4","1","0","2208",
"2020-06-02","82","24","54","4","1","0","2262",
"2020-06-03","82","23","55","4","1","0","2316",
"2020-06-04","82","23","55","4","1","0","2373",
"2020-06-05","82","18","60","4","1","0","2389",
"2020-06-06","82","18","60","4","1","0","2389",
"2020-06-07","82","18","60","4","1","0","2389",
"2020-06-08","82","12","66","4","0","0","2462",
"2020-06-09","82","11","67","4","0","0","2477",
"2020-06-10","82","10","68","4","0","0","2487",
"2020-06-11","82","9","69","4","0","0","2497",
"2020-06-12","82","9","69","4","0","0","2510",
"2020-06-13","82","9","69","4","0","0","2510",
"2020-06-14","82","9","69","4","0","0","2510",
"2020-06-15","82","6","72","4","0","0","2527",
"2020-06-16","82","5","73","4","0","0","2532",
"2020-06-17","82","5","73","4","0","0","2544",
"2020-06-18","82","5","73","4","0","0","2553",
"2020-06-19","82","4","74","4","0","0","2558",
"2020-06-20","82","4","74","4","0","0","2558",
"2020-06-21","82","4","74","4","0","0","2558",
"2020-06-22","82","4","74","4","0","0","2572",
"2020-06-23","82","4","74","4","0","0","2575",
"2020-06-24","82","3","75","4","0","0","2578",
"2020-06-25","82","2","76","4","0","0","2581",
"2020-06-26","82","1","77","4","0","0","2586",
"2020-06-27","82","1","77","4","0","0","2586",
"2020-06-28","82","1","77","4","0","0","2586",
"2020-06-29","82","1","77","4","0","0","2605",
"2020-06-30","82","1","77","4","1","0","2613",
"2020-07-01","82","0","77","5","0","0","2617",
"2020-07-02","82","0","77","5","0","0","2622",
"2020-07-03","82","0","77","5","0","0","2629",
"2020-07-04","82","0","77","5","0","0","2629",
"2020-07-05","82","0","77","5","0","0","2629",
"2020-07-06","82","0","77","5","0","0","2638",
"2020-07-07","82","0","77","5","0","0","2645",
"2020-07-08","82","0","77","5","0","0","2654",
"2020-07-09","82","0","77","5","0","0","2657",
"2020-07-10","82","0","77","5","0","0","2663",
"2020-07-11","82","0","77","5","0","0","2663",
"2020-07-12","82","0","77","5","0","0","2663",
"2020-07-13","82","0","77","5","0","0","2678",
"2020-07-14","82","0","77","5","0","0","2682",
"2020-07-15","82","0","77","5","0","0","2693",
"2020-07-16","82","0","77","5","0","0","2704",
"2020-07-17","82","0","77","5","0","0","2707",
"2020-07-18","82","0","77","5","0","0","2707",
"2020-07-19","82","0","77","5","0","0","2707",
"2020-07-20","83","1","77","5","0","0","2731",
"2020-07-21","83","1","77","5","0","0","2743",
"2020-07-22","83","1","77","5","0","0","2757",
"2020-07-23","83","1","77","5","0","0","2757",
"2020-07-24","84","2","77","5","0","0","2793",
"2020-07-25","84","2","77","5","0","0","2799",
"2020-07-26","85","3","77","5","0","0","2820",
"2020-07-27","87","5","77","5","0","0","2846",
"2020-07-28","89","7","77","5","0","0","2889",
"2020-07-29","89","5","79","5","0","0","2930",
"2020-07-30","89","5","79","5","0","0","2963",
"2020-07-31","89","2","82","5","0","0","3006",
"2020-08-01","92","5","82","5","0","0","3022",
"2020-08-02","95","8","82","5","0","0","3050",
"2020-08-03","99","12","82","5","0","0","3076",
"2020-08-04","100","13","82","5","1","0","3117",
"2020-08-05","100","13","82","5","1","0","3150",
"2020-08-06","100","13","82","5","1","0","3162",
"2020-08-07","100","11","84","5","1","0","3183",
"2020-08-08","101","10","86","5","1","0","3227",
"2020-08-09","102","11","86","5","1","0","3243",
"2020-08-10","107","15","87","5","1","0","3257",
"2020-08-11","107","15","87","5","1","0","3279",
"2020-08-12","107","14","88","5","1","0","3311",
"2020-08-13","108","12","90","6","0","0","3346",
"2020-08-14","109","12","91","6","0","0","3379",
"2020-08-15","110","13","91","6","0","0","3416",
"2020-08-16","110","10","94","6","0","0","3428",
"2020-08-17","110","10","94","6","0","0","3431",
"2020-08-18","110","9","95","6","0","0","3454",
"2020-08-19","111","10","95","6","0","0","3502",
"2020-08-20","111","8","97","6","0","0","3562",
"2020-08-21","112","8","98","6","0","0","3644",
"2020-08-22","113","9","98","6","0","0","3668",
"2020-08-23","114","10","98","6","0","0","3684",
"2020-08-24","114","10","98","6","0","0","3696",
"2020-08-25","114","8","100","6","0","0","3711",
"2020-08-26","114","8","100","6","0","0","3726",
"2020-08-27","114","7","101","6","0","0","3740",
"2020-08-28","114","7","101","6","0","0","3769",
"2020-08-29","114","7","101","6","0","0","3769",
"2020-08-30","114","7","101","6","0","0","3769",
"2020-08-31","114","2","106","6","0","0","3809",
"2020-09-01","114","2","106","6","0","0","3813",
"2020-09-02","114","1","107","6","0","0","3828",
"2020-09-03","114","1","107","6","0","0","3847",
"2020-09-04","114","1","107","6","0","0","3855",
"2020-09-05","114","1","107","6","0","0","3855",
"2020-09-06","114","1","107","6","0","0","3855",
"2020-09-07","114","1","107","6","0","0","3881",
"2020-09-08","114","1","107","6","0","0","3884",
"2020-09-09","114","1","107","6","0","0","3900",
"2020-09-10","114","1","107","6","0","0","3909",
"2020-09-11","114","1","107","6","0","0","3921",
"2020-09-12","114","1","107","6","0","0","3921",
"2020-09-13","114","1","107","6","0","0","3921",
"2020-09-14","114","1","107","6","0","0","3938",
"2020-09-15","114","1","107","6","0","0","3945",
"2020-09-16","114","1","107","6","0","0","3955",
"2020-09-17","114","1","107","6","0","0","3966",
"2020-09-18","114","0","108","6","0","0","3973",
"2020-09-19","114","0","108","6","0","0","3973",
"2020-09-20","114","0","108","6","0","0","3973",
"2020-09-21","114","0","108","6","0","0","3973",
"2020-09-22","114","0","108","6","0","0","3973",
"2020-09-23","114","0","108","6","0","0","4002",
"2020-09-24","114","0","108","6","0","0","4021",
"2020-09-25","114","0","108","6","0","0","4037",
"2020-09-26","114","0","108","6","0","0","4037",
"2020-09-27","114","0","108","6","0","0","4037",
"2020-09-28","114","0","108","6","0","0","4049",
"2020-09-29","114","0","108","6","0","0","4060",
"2020-09-30","114","0","108","6","0","0","4075",
"2020-10-01","114","0","108","6","0","0","4087",
"2020-10-02","114","0","108","6","0","0","4099",
"2020-10-03","114","0","108","6","0","0","4099",
"2020-10-04","115","1","108","6","0","0","4119",
"2020-10-05","115","1","108","6","0","0","4131",
"2020-10-06","115","1","108","6","0","0","4138",
"2020-10-07","115","1","108","6","0","0","4157",
"2020-10-08","115","1","108","6","0","0","4167",
"2020-10-09","115","1","108","6","0","0","4175",
"2020-10-10","115","1","108","6","0","0","4175",
"2020-10-11","115","1","108","6","0","0","4175",
"2020-10-12","115","1","108","6","0","0","4189",
"2020-10-13","115","1","108","6","0","0","4192",
"2020-10-14","115","1","108","6","0","0","4204",
"2020-10-15","115","1","108","6","0","0","4215",
"2020-10-16","116","2","108","6","0","0","4227",
"2020-10-17","116","2","108","6","0","0","4240",
"2020-10-18","116","2","108","6","0","0","4240",
"2020-10-19","116","2","108","6","0","0","4246",
"2020-10-20","116","2","108","6","0","0","4258",
"2020-10-21","116","1","109","6","0","0","4274",
"2020-10-22","116","1","109","6","0","0","4284",
"2020-10-23","116","0","110","6","0","0","4293",
"2020-10-24","116","0","110","6","0","0","4293",
"2020-10-25","116","0","110","6","0","0","4293",
"2020-10-26","116","0","110","6","0","0","4305",
"2020-10-27","116","0","110","6","0","0","4319",
"2020-10-28","116","0","110","6","0","0","4337",
"2020-10-29","116","0","110","6","0","0","4353",
"2020-10-30","116","0","110","6","0","0","4371",
"2020-10-31","116","0","110","6","0","0","4371",
"2020-11-01","116","0","110","6","0","0","4371",
"2020-11-02","116","0","110","6","0","0","4392",
"2020-11-03","116","0","110","6","0","0","4392",
"2020-11-04","116","0","110","6","0","0","4406",
"2020-11-05","116","0","110","6","0","0","4419",
"2020-11-06","117","1","110","6","0","0","4434",
"2020-11-07","117","1","110","6","0","0","4434",
"2020-11-08","117","1","110","6","0","0","4434",
"2020-11-09","117","1","110","6","0","0","4456",
"2020-11-10","117","1","110","6","0","0","4468",
"2020-11-11","117","1","110","6","0","0","4476",
"2020-11-12","121","5","110","6","0","0","4488",
"2020-11-13","123","7","110","6","0","0","4529",
"2020-11-14","123","7","110","6","0","0","4583",
"2020-11-15","129","13","110","6","0","0","4625",
"2020-11-16","130","13","111","6","0","0","4643",
"2020-11-17","138","21","111","6","0","0","4759",
"2020-11-18","144","27","111","6","0","0","4819",
"2020-11-19","153","36","111","6","0","0","4880",
"2020-11-20","164","47","111","6","0","0","5091",
"2020-11-21","186","69","111","6","0","0","5240",
"2020-11-22","208","91","111","6","2","0","5350",
"2020-11-23","234","112","116","6","2","0","5534",
"2020-11-24","251","123","122","6","3","0","5657",
"2020-11-25","265","130","129","6","3","0","5827",
"2020-11-26","282","141","135","6","3","0","6025",
"2020-11-27","296","149","141","6","3","0","6776",
"2020-11-28","304","149","149","6","4","0","6862",
"2020-11-29","311","151","154","6","4","0","6961",
"2020-11-30","314","148","160","6","4","0","7104",
"2020-12-01","320","145","169","6","5","0","7211",
"2020-12-02","327","141","180","6","6","0","7273",
"2020-12-03","331","141","184","6","6","0","7393",
"2020-12-04","339","126","206","6","5","1","8264",
"2020-12-05","341","101","233","6","5","1","8364",
"2020-12-06","345","101","237","6","5","1","8520",
"2020-12-07","349","96","246","6","5","1","8560",
"2020-12-08","352","86","259","6","3","1","8593",
"2020-12-09","353","77","268","7","2","1","8633",
"2020-12-10","354","68","278","7","2","1","8650",
"2020-12-11","356","66","281","8","2","1","9639",
"2020-12-12","358","61","288","8","2","1","9691",
"2020-12-13","359","57","293","8","2","1","9723",
"2020-12-14","360","54","297","9","2","0","9762",
"2020-12-15","363","49","305","9","2","0","9778",
"2020-12-16","370","55","306","9","2","0","9820",
"2020-12-17","372","53","310","9","2","0","9854",
"2020-12-18","374","53","312","9","2","0","10835",
"2020-12-19","374","47","317","10","3","0","10840",
"2020-12-20","375","45","319","11","3","0","10863",
"2020-12-21","375","43","321","11","4","0","10873",
"2020-12-22","379","32","336","11","4","0","10881",
"2020-12-23","382","34","337","11","4","0","10895",
