"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","52","42","6","4",,,,
"2020-03-19","57","47","6","4",,,,
"2020-03-20","58","48","6","4",,,,
"2020-03-21","61","45","12","4",,,,
"2020-03-22","67","49","14","4",,,,
"2020-03-23","68","47","17","4",,,,
"2020-03-24","73","52","17","4",,,,
"2020-03-25","77","56","17","4",,,,
"2020-03-26","82","60","18","4",,,,
"2020-03-27","88","66","18","4",,,,
"2020-03-28","104","79","20","5",,,,
"2020-03-29","107","82","20","5",,,,
"2020-03-30","115","89","20","6",,,,
"2020-03-31","120","87","27","6",,,,
"2020-04-01","138","104","28","6",,,,
"2020-04-02","153","119","28","6",,,,
"2020-04-03","181","143","32","6",,,,
"2020-04-04","197","159","32","6",,,,
"2020-04-05","226","188","32","6",,,,
"2020-04-06","261","223","32","6",,,,
"2020-04-07","279","237","35","7",,,,
"2020-04-08","327","284","37","6",,,,
"2020-04-09","375","332","37","6",,,,
"2020-04-10","425","375","44","6",,,,
"2020-04-11","465","415","44","6",,,,
"2020-04-12","478","427","44","7",,,,
"2020-04-13","572","505","55","12",,,,
"2020-04-14","594","525","55","14",,,,
"2020-04-15","614","544","55","15",,,,
"2020-04-16","673","602","55","16",,,,
"2020-04-17","710","639","54","17",,,,
"2020-04-18","754","670","68","16",,,,
"2020-04-19","784","694","73","17",,,,
"2020-04-20","802","695","88","19",,,,
"2020-04-21","816","706","91","19",,,,
"2020-04-22","841","707","111","23",,,,
"2020-04-23","880","742","114","24",,,,
"2020-04-24","912","765","123","24",,,,
"2020-04-25","943","798","120","25",,,,
"2020-04-26","959","813","120","26",,,,
"2020-04-27","965","816","122","27",,,,
"2020-04-28","975","796","150","29",,,,
"2020-04-29","1002","821","150","31",,,,
"2020-04-30","1028","828","168","32",,,,
"2020-05-01","1042","838","172","32",,,,
"2020-05-02","1060","850","177","33",,,,
"2020-05-03","1101","882","184","35",,,,
"2020-05-04","1111","886","185","40",,,,
"2020-05-05","1125","899","185","41",,,,
"2020-05-06","1132","901","188","43",,,,
"2020-05-07","1145","913","188","44",,,,
"2020-05-08","1150","458","645","47","34","41","1947",
"2020-05-09","1158","466","645","47","30","8","1610",
"2020-05-10","1150","458","645","47","30","0","1610",
"2020-05-11","1178","419","709","50","31","0","2057",
"2020-05-12","1193","404","732","57","34","0","2721",
"2020-05-13","1203","376","768","59","34","0","2992",
"2020-05-14","1236","366","808","62","34","0","2604",
"2020-05-15","1251","379","809","63","34","0","7931",
"2020-05-16","1251","379","809","63","34","0","9756",
"2020-05-17","1251","379","809","63","34","0","7931",
"2020-05-18","1276","324","888","64","30","0","8220",
"2020-05-19","1284","312","904","68","32","0","8317",
"2020-05-20","1302","301","933","68","29","0","8483",
"2020-05-21","1315","311","935","69","28","0","8681",
"2020-05-22","1322","286","965","71","30","0","8780",
"2020-05-23","1322","286","965","71","30","0","8780",
"2020-05-24","1322","286","965","71","30","0","8780",
"2020-05-25","1333","269","991","73","27","0","8984",
"2020-05-26","1336","248","1012","76","27","0","9073",
"2020-05-27","1341","229","1034","78","28","0","9225",
"2020-05-28","1341","229","1034","78","28","0","9225",
"2020-05-29","1359","197","1080","82","26","0","9446",
"2020-05-30","1359","197","1080","82","26","0","9446",
"2020-05-31","1359","197","1080","82","26","0","9446",
"2020-06-01","1370","184","1102","84","24","0","9637",
"2020-06-02","1373","164","1123","86","19","0","9974",
"2020-06-03","1375","159","1130","86","21","0","10103",
"2020-06-04","1381","143","1151","87","17","0","10210",
"2020-06-05","1387","137","1163","87","19","0","10327",
"2020-06-06","1387","137","1163","87","19","0","10327",
"2020-06-07","1387","137","1163","87","19","0","10327",
"2020-06-08","1397","129","1181","87","13","0","10601",
"2020-06-09","1398","125","1185","88","15","0","10756",
"2020-06-10","1398","115","1194","89","17","0","10918",
"2020-06-11","1399","108","1202","89","16","0","11046",
"2020-06-12","1402","100","1213","89","15","0","11129",
"2020-06-13","1402","100","1213","89","15","0","11129",
"2020-06-14","1402","100","1213","89","15","0","11129",
"2020-06-15","1411","138","1183","90","23","0","11329",
"2020-06-16","1413","73","1249","91","13","0","11489",
"2020-06-17","1420","72","1255","93","9","0","11628",
"2020-06-18","1426","62","1271","93","9","0","11724",
"2020-06-19","1428","70","1265","93","10","0","11826",
"2020-06-20","1428","70","1265","93","10","0","11826",
"2020-06-21","1428","70","1265","93","10","0","11826",
"2020-06-22","1433","64","1276","93","13","0","12033",
"2020-06-23","1434","57","1283","94","11","0","12108",
"2020-06-24","1438","58","1283","94","12","3","12202",
"2020-06-25","1444","60","1290","94","10","0","12278",
"2020-06-26","1451","64","1291","96","10","0","12347",
"2020-06-27","1455","64","1295","96","10","0","12347",
"2020-06-28","1464","64","1304","96","10","0","12347",
"2020-06-29","1471","69","1306","96","11","0","12480",
"2020-06-30","1502","68","1338","96","10","0","12551",
"2020-07-01","1508","86","1326","96","8","0","12709",
"2020-07-02","1521","104","1321","96","7","0","12813",
"2020-07-03","1545","107","1342","96","7","0","12898",
"2020-07-04","1565","107","1362","96","7","0","12898",
"2020-07-05","1585","107","1382","96","7","0","12898",
"2020-07-06","1596","136","1364","96","10","0","13257",
"2020-07-07","1605","127","1382","96","7","0","13437",
"2020-07-08","1628","154","1378","96","12","0","13695",
"2020-07-09","1653","147","1409","97","6","0","13894",
"2020-07-10","1685","158","1430","97","8","0","14021",
"2020-07-11","1720","158","1464","97","8","1","14021",
"2020-07-12","1743","158","1488","97","8","0","14021",
"2020-07-13","1760","179","1484","97","11","0","14411",
"2020-07-14","1786","191","1497","98","8","0","14495",
"2020-07-15","1826","206","1522","98","7","0","14758",
"2020-07-16","1876","223","1555","98","9","0","20112",
"2020-07-17","1919","262","1559","98","9","0","15233",
"2020-07-18","1968","262","1608","98","9","0","15233",
"2020-07-19","1998","262","1638","98","9","0","15233",
"2020-07-20","2009","297","1614","98","9","0","15655",
"2020-07-21","2039","173","1768","98","7","0","15855",
"2020-07-22","2107","295","1714","98","7","0","16219",
"2020-07-23","2160","303","1759","98","7","0","16219",
"2020-07-24","2188","303","1787","98","7","0","16219",
"2020-07-25","2206","303","1805","98","7","0","16219",
"2020-07-26","2239","303","1838","98","7","0","16219",
"2020-07-27","2253","301","1854","98","11","0","17145",
"2020-07-28","2286","309","1879","98","10","0","17322",
"2020-07-29","2356","293","1965","98","10","0","17592",
"2020-07-30","2432","303","2030","99","8","0","17863",
"2020-07-31","2484","341","2044","99","10","0","18126",
"2020-08-01","2542","337","2106","99","10","0","18126",
"2020-08-02","2615","337","2179","99","10","0","18126",
"2020-08-03","2663","403","2161","99","11","0","18625",
"2020-08-04","2752","439","2214","99","11","0","18776",
"2020-08-05","2833","468","2266","99","11","0","38641",
"2020-08-06","2952","471","2381","100","14","0","40667",
"2020-08-07","3059","513","2445","101","10","0","42717",
"2020-08-08","3187","513","2573","101","10","0","42717",
"2020-08-09","3187","517","2573","101","14","4","42717",
"2020-08-10","3305","517","2687","101","14","0","42717",
"2020-08-11","3305","525","2677","103","10","0","42717",
"2020-08-12","3398","562","2732","104","15","0","47699",
"2020-08-13","3521","580","2837","104","20","0","50813",
