"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","105","80","23","2",,,,
"2020-03-19","112","86","24","2",,,,
"2020-03-20","123","96","24","3",,,,
"2020-03-21","130","101","25","4",,,,
"2020-03-22","132","103","25","4",,,,
"2020-03-23","146","116","26","4",,,,
"2020-03-24","160","130","26","5",,,,
"2020-03-25","201","170","27","5",,,,
"2020-03-26","227","194","28","5",,,,
"2020-03-27","227","193","29","5",,,,
"2020-03-28","368","327","36","5",,,,
"2020-03-29","436","395","36","5",,,,
"2020-03-30","449","407","36","6",,,,
"2020-03-31","527","484","37","6",,,,
"2020-04-01","593","539","47","7",,,,
"2020-04-02","690","635","48","7",,,,
"2020-04-03","779","719","48","12",,,,
"2020-04-04","897","837","48","12",,,,
"2020-04-05","1040","978","50","12",,,,
"2020-04-06","1123","1049","58","16",,,,
"2020-04-07","1203","1129","58","16",,,,
"2020-04-08","1347","1272","57","18",,,,
"2020-04-09","1528","1453","57","18",,,,
"2020-04-10","1717","1641","57","19",,,,
"2020-04-11","1914","1838","57","19",,,,
"2020-04-12","2080","2004","57","19",,,,
"2020-04-13","2171","2095","57","19",,,,
"2020-04-14","2332","2254","59","19",,,,
"2020-04-15","2457","2379","59","19",,,,
"2020-04-16","2606","2528","59","19",,,,
"2020-04-17","2807","2729","59","19",,,,
"2020-04-18","2988","2910","59","19",,,,
"2020-04-19","3095","3017","59","19",,,,
"2020-04-20","3197","3119","59","19",,,,
"2020-04-21","3320","3242","59","19",,,,
"2020-04-22","3452","3374","59","19",,,,
"2020-04-23","3586","3508","59","19",,,,
"2020-04-24","3747","3669","59","19",,,,
"2020-04-25","3850","3772","59","19",,,,
"2020-04-26","3922","3844","59","19",,,,
"2020-04-27","3961","3883","59","19",,,,
"2020-04-28","4073","3995","59","19",,,,
"2020-04-29","4120","4042","59","19",,,,
"2020-04-30","4166","4088","59","19",,,,
"2020-05-01","4331","4253","59","19",,,,
"2020-05-02","4491","4413","59","19",,,,
"2020-05-03","4582","4504","59","19",,,,
"2020-05-04","4669","4591","59","19",,,,
"2020-05-05","4727","4635","73","19",,,,
"2020-05-06","4765","4673","73","19",,,,
"2020-05-07","4777","4685","73","19",,,,
"2020-05-08","4810","2503","2136","171","78","0","12990",
"2020-05-09","4846","2514","2152","180","83","0","13124",
"2020-05-10","4868","2518","2170","180","71","0","13124",
