"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","1","0","1","0",,,,
"2020-03-19","1","0","1","0",,,,
"2020-03-20","1","0","1","0",,,,
"2020-03-21","1","0","1","0",,,,
"2020-03-22","1","0","1","0",,,,
"2020-03-23","1","0","1","0",,,,
"2020-03-24","1","0","1","0",,,,
"2020-03-25","1","0","1","0",,,,
"2020-03-26","2","1","1","0",,,,
"2020-03-27","2","1","1","0",,,,
"2020-03-28","2","1","1","0",,,,
"2020-03-29","2","1","1","0",,,,
"2020-03-30","6","5","1","0",,,,
"2020-03-31","7","6","1","0",,,,
"2020-04-01","7","6","1","0",,,,
"2020-04-02","12","11","1","0",,,,
"2020-04-03","13","12","1","0",,,,
"2020-04-04","20","19","1","0",,,,
"2020-04-05","23","22","1","0",,,,
"2020-04-06","26","25","1","0",,,,
"2020-04-07","27","26","1","0",,,,
"2020-04-08","34","33","1","0",,,,
"2020-04-09","36","35","1","0",,,,
"2020-04-10","37","36","1","0",,,,
"2020-04-11","46","45","1","0",,,,
"2020-04-12","52","50","2","0",,,,
"2020-04-13","54","49","5","0",,,,
"2020-04-14","64","59","5","0",,,,
"2020-04-15","65","59","6","0",,,,
"2020-04-16","75","67","8","0",,,,
"2020-04-17","79","71","8","0",,,,
"2020-04-18","83","75","8","0",,,,
"2020-04-19","83","75","8","0",,,,
"2020-04-20","84","76","8","0",,,,
"2020-04-21","84","70","14","0",,,,
"2020-04-22","84","70","14","0",,,,
"2020-04-23","84","61","23","0",,,,
"2020-04-24","84","55","29","0",,,,
"2020-04-25","85","54","31","0",,,,
"2020-04-26","85","54","31","0",,,,
"2020-04-27","86","54","32","0",,,,
"2020-04-28","87","55","32","0",,,,
"2020-04-29","88","56","32","0",,,,
"2020-04-30","88","56","32","0",,,,
"2020-05-01","88","38","50","0",,,,
"2020-05-02","88","27","61","0",,,,
"2020-05-03","88","27","61","0",,,,
"2020-05-04","88","27","61","0",,,,
"2020-05-05","88","23","65","0",,,,
"2020-05-06","88","19","69","0",,,,
"2020-05-07","88","16","72","0",,,,
"2020-05-08","88","13","75","0","不明","0","2183",
"2020-05-09","88","8","79","1","-","0","2183",
"2020-05-10","88","7","80","1","-","0","2183",
"2020-05-11","88","7","80","1","-","0","2297",
"2020-05-12","88","7","80","1","0","0","2322",
"2020-05-13","88","6","81","1","0","0","2371",
"2020-05-14","88","5","82","1","0","0","2428",
"2020-05-15","88","5","82","1","0","0","2475",
"2020-05-16","88","3","84","1","0","0","2511",
"2020-05-17","88","2","85","1","0","1","2511",
"2020-05-18","88","2","85","1","0","0","2575",
"2020-05-19","88","2","85","1","0","0","2588",
"2020-05-20","88","1","86","1","0","0","2616",
"2020-05-21","88","1","86","1","0","0","2642",
"2020-05-22","88","1","86","1","0","0","2684",
"2020-05-23","88","1","86","1","0","0","2819",
"2020-05-24","88","1","86","1","0","0","2835",
"2020-05-25","88","1","86","1","0","0","2843",
"2020-05-26","88","1","86","1","0","0","2850",
"2020-05-27","88","0","87","1","0","0","2868",
"2020-05-28","88","0","87","1","0","0","2884",
"2020-05-29","88","0","87","1","0","0","2900",
"2020-05-30","88","0","87","1","0","0","2923",
"2020-05-31","88","0","87","1","0","0","2944",
"2020-06-01","88","0","87","1","0","0","2950",
"2020-06-02","88","0","87","1","0","0","2952",
"2020-06-03","88","0","87","1","0","0","2979",
"2020-06-04","88","0","87","1","0","0","3012",
"2020-06-05","88","0","87","1","0","0","3034",
"2020-06-06","88","0","87","1","0","0","3064",
"2020-06-07","88","0","87","1","0","0","3086",
"2020-06-08","88","0","87","1","0","0","3108",
"2020-06-09","88","0","87","1","0","0","3119",
"2020-06-10","88","0","87","1","0","0","3136",
"2020-06-11","88","0","87","1","0","0","3168",
"2020-06-12","88","0","87","1","0","0","3253",
