"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","31","22","9","0",,,,
"2020-03-19","34","25","9","0",,,,
"2020-03-20","39","27","12","0",,,,
"2020-03-21","40","26","14","0",,,,
"2020-03-22","42","27","15","0",,,,
"2020-03-23","45","30","15","0",,,,
"2020-03-24","46","31","15","0",,,,
"2020-03-25","51","34","17","0",,,,
"2020-03-26","54","36","18","0",,,,
"2020-03-27","60","42","18","0",,,,
"2020-03-28","126","106","19","1",,,,
"2020-03-29","160","140","19","1",,,,
"2020-03-30","160","140","19","1",,,,
"2020-03-31","164","144","19","1",,,,
"2020-04-01","175","151","23","1",,,,
"2020-04-02","181","154","26","1",,,,
"2020-04-03","192","160","31","1",,,,
"2020-04-04","219","187","31","1",,,,
"2020-04-05","238","205","32","1",,,,
"2020-04-06","253","220","32","1",,,,
"2020-04-07","284","251","32","1",,,,
"2020-04-08","317","284","32","1",,,,
"2020-04-09","342","306","35","1",,,,
"2020-04-10","375","336","37","2",,,,
"2020-04-11","411","369","38","4",,,,
"2020-04-12","455","412","39","4",,,,
"2020-04-13","474","431","39","4",,,,
"2020-04-14","490","440","45","5",,,,
"2020-04-15","525","475","45","5",,,,
"2020-04-16","539","482","51","6",,,,
"2020-04-17","609","549","54","6",,,,
"2020-04-18","643","569","67","7",,,,
"2020-04-19","661","582","71","8",,,,
"2020-04-20","683","598","77","8",,,,
"2020-04-21","704","613","80","11",,,,
"2020-04-22","725","634","80","11",,,,
"2020-04-23","749","651","82","16",,,,
"2020-04-24","768","655","95","18",,,,
"2020-04-25","778","662","97","19",,,,
"2020-04-26","786","670","97","19",,,,
"2020-04-27","793","672","98","23",,,,
"2020-04-28","801","677","101","23",,,,
"2020-04-29","806","681","102","23",,,,
"2020-04-30","810","683","103","24",,,,
"2020-05-01","816","686","105","25",,,,
"2020-05-02","823","693","105","25",,,,
"2020-05-03","828","697","105","26",,,,
"2020-05-04","834","697","111","26",,,,
"2020-05-05","835","672","136","27",,,,
"2020-05-06","837","630","179","28",,,,
"2020-05-07","842","556","253","33",,,,
"2020-05-08","876","415","423","38","14","178","11882",
"2020-05-09","879","392","448","39","12","168","12290",
"2020-05-10","880","373","467","40","12","156","12290",
"2020-05-11","883","340","503","40","11","0","12793",
"2020-05-12","885","303","542","40","12","0","12793",
"2020-05-13","888","278","570","40","11","0","16804",
"2020-05-14","888","244","604","40","13","0","11966",
"2020-05-15","890","221","627","42","11","3","12272",
"2020-05-16","898","207","649","42","11","3","12529",
"2020-05-17","898","206","650","42","11","3","12773",
"2020-05-18","900","196","662","42","11","0","12955",
"2020-05-19","900","145","713","42","11","0","13050",
"2020-05-20","901","122","737","42","10","0","13155",
"2020-05-21","904","114","746","44","6","0","13345",
"2020-05-22","904","108","752","44","6","0","13586",
"2020-05-23","904","98","762","44","6","0","13742",
"2020-05-24","904","95","765","44","6","0","13872",
"2020-05-25","904","86","774","44","6","0","13978",
"2020-05-26","904","80","780","44","6","0","14057",
"2020-05-27","905","74","787","44","5","0","14122",
"2020-05-28","906","64","797","45","4","0","14284",
"2020-05-29","906","57","804","45","4","0","14428",
"2020-05-30","907","57","805","45","4","0","14547",
"2020-05-31","909","57","807","45","4","0","14688",
"2020-06-01","909","49","815","45","4","0","14814",
"2020-06-02","906","37","824","45","4","0","14881",
"2020-06-03","907","37","825","45","4","0","14929",
"2020-06-04","907","24","838","45","4","0","15076",
"2020-06-05","904","20","839","45","4","0","15225",
"2020-06-06","904","20","839","45","4","0","15358",
"2020-06-07","907","23","839","45","4","0","15494",
"2020-06-08","907","21","841","45","4","0","15658",
"2020-06-09","910","22","843","45","4","0","15743",
"2020-06-10","912","24","843","45","4","0","15813",
"2020-06-11","915","24","846","45","4","0","15991",
"2020-06-12","918","27","846","45","3","0","16146",
"2020-06-13","919","28","846","45","3","0","16310",
"2020-06-14","919","28","846","45","3","0","16476",
"2020-06-15","919","28","846","45","3","0","16716",
"2020-06-16","919","24","850","45","3","0","16716",
"2020-06-17","920","22","853","45","3","0","16770",
"2020-06-18","922","24","853","45","2","0","16898",
"2020-06-19","922","22","855","45","2","0","17021",
"2020-06-20","924","24","855","45","2","0","17122",
"2020-06-21","924","23","856","45","2","0","17230",
"2020-06-22","926","20","861","45","2","0","17317",
"2020-06-23","929","21","863","45","2","0","17374",
"2020-06-24","933","23","865","45","2","0","17416",
"2020-06-25","937","25","867","45","2","0","17597",
"2020-06-26","941","29","867","45","2","0","17723",
"2020-06-27","946","33","868","45","2","0","17898",
"2020-06-28","949","36","868","45","2","0","18047",
"2020-06-29","949","36","868","45","2","0","18047",
"2020-06-30","960","44","871","45","2","0","18287",
"2020-07-01","967","49","873","45","2","0","18355",
"2020-07-02","978","59","874","45","2","0","18548",
"2020-07-03","987","54","888","45","1","0","18715",
"2020-07-04","1003","67","891","45","1","0","18877",
"2020-07-05","1010","72","893","45","1","0","19089",
"2020-07-06","1019","79","895","45","1","0","19276",
"2020-07-07","1030","85","899","46","1","0","19367",
"2020-07-08","1040","95","899","46","1","0","19479",
"2020-07-09","1062","110","906","46","0","0","19698",
"2020-07-10","1074","118","910","46","0","0","20087",
"2020-07-11","1088","128","914","46","0","0","20335",
"2020-07-12","1119","152","921","46","0","0","20693",
"2020-07-13","1137","161","930","46","0","0","20924",
"2020-07-14","1162","169","947","46","0","0","21193",
"2020-07-15","1191","186","959","46","0","0","21490",
"2020-07-16","1223","210","967","46","0","0","21977",
"2020-07-17","1223","210","967","46","0","0","21977",
"2020-07-18","1276","235","995","46","2","0","23084",
"2020-07-19","1300","250","1004","46","2","0","23565",
"2020-07-20","1318","258","1014","46","2","0","23893",
"2020-07-21","1333","249","1038","46","2","0","24141",
"2020-07-22","1333","249","1038","46","2","0","24141",
"2020-07-23","1406","290","1070","46","3","0","24972",
"2020-07-24","1432","300","1086","46","5","0","25561",
"2020-07-25","1453","318","1089","46","7","0","25929",
"2020-07-26","1475","320","1109","46","6","0","26147",
"2020-07-27","1499","307","1146","46","5","0","26393",
"2020-07-28","1522","284","1190","48","5","0","26690",
"2020-07-29","1571","316","1207","48","4","0","26976",
"2020-07-30","1620","357","1215","48","4","0","27453",
"2020-07-31","1656","370","1237","49","4","0","28022",
"2020-08-01","1656","370","1237","49","4","0","28022",
"2020-08-02","1780","453","1278","49","7","0","29050",
"2020-08-03","1823","469","1304","50","6","0","29417",
"2020-08-04","1870","505","1315","50","6","0","29812",
"2020-08-05","1920","505","1364","51","4","0","30220",
"2020-08-06","1996","548","1397","51","6","0","30900",
"2020-08-07","2061","570","1439","52","6","0","31557",
"2020-08-08","2114","610","1452","52","6","0","32150",
"2020-08-09","2164","611","1499","54","6","0","32778",
"2020-08-10","2205","624","1527","54","6","0","32778",
"2020-08-11","2224","614","1555","55","5","0","33780",
"2020-08-12","2258","525","1678","55","5","0","41138",
"2020-08-13","2304","497","1752","55","7","0","42401",
"2020-08-14","2355","461","1838","56","7","0","43083",
"2020-08-15","2415","492","1867","56","7","0","43917",
"2020-08-16","2463","522","1885","56","6","0","44503",
"2020-08-17","2495","506","1931","58","8","0","45444",
"2020-08-18","2532","482","1992","58","9","0","45960",
"2020-08-19","2578","457","2063","58","9","0","46506",
"2020-08-20","2642","474","2110","58","10","0","47577",
"2020-08-21","2695","492","2144","59","8","0","48681",
"2020-08-22","2738","506","2173","59","9","0","49257",
"2020-08-23","2774","501","2214","59","9","0","49670",
"2020-08-24","2801","469","2273","59","9","0","50562",
"2020-08-25","2834","451","2323","60","9","0","51262",
"2020-08-26","2877","431","2385","61","7","0","51765",
"2020-08-27","2922","442","2419","61","8","0","52584",
"2020-08-28","2961","439","2461","61","8","0","53587",
"2020-08-29","2994","427","2506","61","9","0","54290",
"2020-08-30","3033","432","2539","62","10","0","54796",
"2020-08-31","3050","420","2568","62","11","0","55547",
"2020-09-01","3068","370","2635","63","9","0","56338",
"2020-09-02","3092","344","2685","63","10","0","56986",
"2020-09-03","3125","350","2712","63","10","0","57427",
"2020-09-04","3160","352","2745","63","10","0","58263",
"2020-09-05","3188","349","2776","63","10","0","58879",
"2020-09-06","3211","321","2826","64","10","0","59406",
"2020-09-07","3225","307","2854","64","9","0","60171",
"2020-09-08","3258","294","2900","64","8","0","60485",
"2020-09-09","3281","283","2933","65","8","0","61286",
"2020-09-10","3309","289","2954","66","8","0","63768",
"2020-09-11","3339","284","2989","66","8","0","65505",
"2020-09-12","3385","320","2998","67","7","0","66251",
"2020-09-13","3405","316","3022","67","8","0","66682",
"2020-09-14","3416","299","3050","67","6","0","68010",
"2020-09-15","3446","300","3079","67","7","0","68574",
"2020-09-16","3483","296","3120","67","6","0","70565",
"2020-09-17","3516","288","3161","67","6","0","72369",
"2020-09-18","3556","314","3174","68","6","0","73265",
"2020-09-19","3602","340","3194","68","6","0","73902",
"2020-09-20","3637","353","3216","68","6","0","74434",
"2020-09-21","3651","346","3237","68","6","0","74727",
"2020-09-22","3669","331","3262","68","6","8","75232",
"2020-09-23","3689","328","3293","68","6","0","76502",
"2020-09-24","3715","309","3336","70","8","0","77280",
"2020-09-25","3746","304","3372","70","8","0","85235",
"2020-09-26","3784","320","3394","70","8","0","85762",
"2020-09-27","3805","321","3414","70","8","0","86132",
"2020-09-28","3822","287","3465","70","7","0","86970",
"2020-09-29","3862","285","3506","71","6","0","87562",
"2020-09-30","3896","271","3554","71","9","0","88135",
"2020-10-01","3934","283","3580","71","9","0","89202",
"2020-10-02","3968","292","3604","72","10","0","95756",
"2020-10-03","4010","309","3629","72","10","0","96201",
"2020-10-04","4047","329","3646","72","9","0","96680",
"2020-10-05","4069","316","3681","72","10","0","97864",
"2020-10-06","4110","324","3714","72","10","0","99323",
"2020-10-07","4154","338","3744","72","12","0","100478",
"2020-10-08","4193","334","3787","72","13","0","103301",
"2020-10-09","4232","328","3832","72","14","0","104100",
"2020-10-10","4268","325","3871","72","13","0","104558",
"2020-10-11","4311","349","3889","73","13","0","104962",
"2020-10-12","4322","326","3923","73","12","0","106036",
"2020-10-13","4346","325","3947","74","12","0","106437",
