"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","1","1","0","0",,,,
"2020-03-19","1","1","0","0",,,,
"2020-03-20","1","1","0","0",,,,
"2020-03-21","1","1","0","0",,,,
"2020-03-22","1","1","0","0",,,,
"2020-03-23","1","1","0","0",,,,
"2020-03-24","1","1","0","0",,,,
"2020-03-25","1","1","0","0",,,,
"2020-03-26","1","1","0","0",,,,
"2020-03-27","1","1","0","0",,,,
"2020-03-28","1","1","0","0",,,,
"2020-03-29","1","1","0","0",,,,
"2020-03-30","1","1","0","0",,,,
"2020-03-31","2","2","0","0",,,,
"2020-04-01","4","4","0","0",,,,
"2020-04-02","4","4","0","0",,,,
"2020-04-03","5","5","0","0",,,,
"2020-04-04","6","6","0","0",,,,
"2020-04-05","8","7","1","0",,,,
"2020-04-06","8","7","1","0",,,,
"2020-04-07","9","8","1","0",,,,
"2020-04-08","11","10","1","0",,,,
"2020-04-09","11","10","1","0",,,,
"2020-04-10","12","11","1","0",,,,
"2020-04-11","12","11","1","0",,,,
"2020-04-12","13","12","1","0",,,,
"2020-04-13","13","12","1","0",,,,
"2020-04-14","15","14","1","0",,,,
"2020-04-15","17","16","1","0",,,,
"2020-04-16","15","14","1","0",,,,
"2020-04-17","16","15","1","0",,,,
"2020-04-18","16","15","1","0",,,,
"2020-04-19","17","16","1","0",,,,
"2020-04-20","17","16","1","0",,,,
"2020-04-21","17","16","1","0",,,,
"2020-04-22","18","16","2","0",,,,
"2020-04-23","21","19","2","0",,,,
"2020-04-24","32","26","6","0",,,,
"2020-04-25","36","30","6","0",,,,
"2020-04-26","36","30","6","0",,,,
"2020-04-27","36","30","6","0",,,,
"2020-04-28","37","31","6","0",,,,
"2020-04-29","38","32","6","0",,,,
"2020-04-30","41","34","7","0",,,,
"2020-05-01","42","35","7","0",,,,
"2020-05-02","42","35","7","0",,,,
"2020-05-03","44","35","9","0",,,,
"2020-05-04","45","35","10","0",,,,
"2020-05-05","45","35","10","0",,,,
"2020-05-06","45","35","10","0",,,,
"2020-05-07","45","35","10","0",,,,
"2020-05-08","45","25","20","0","2","2","1209",
"2020-05-09","45","24","21","0","1","2","1219",
"2020-05-10","45","23","22","0","1","2","1226",
"2020-05-11","45","22","23","0","1","2","1235",
"2020-05-12","45","22","23","0","0","2","1265",
"2020-05-13","46","19","27","0","0","2","1281",
"2020-05-14","46","19","27","0","0","2","1285",
"2020-05-15","46","17","29","0","0","2","1301",
"2020-05-16","47","18","29","0","0","2","1310",
"2020-05-17","47","17","30","0","0","2","1317",
"2020-05-18","47","17","30","0","0","2","1320",
"2020-05-19","47","16","31","0","0","2","1339",
"2020-05-20","47","16","31","0","0","2","1354",
"2020-05-21","47","15","32","0","0","2","1361",
"2020-05-22","47","15","32","0","0","2","1372",
"2020-05-23","47","14","33","0","0","2","1376",
"2020-05-24","47","14","33","0","0","2","1377",
"2020-05-25","47","13","34","0","0","2","1377",
"2020-05-26","47","12","35","0","0","2","1386",
"2020-05-27","47","12","35","0","0","2","1389",
"2020-05-28","47","10","35","0","0","2","1398",
"2020-05-29","47","8","37","0","0","2","1407",
"2020-05-30","47","8","37","0","0","2","1410",
"2020-05-31","47","8","37","0","0","2","1417",
"2020-06-01","47","3","42","0","0","2","1418",
"2020-06-02","47","0","45","0","0","2","1428",
"2020-06-03","47","0","45","0","0","2","1443",
"2020-06-04","47","0","45","0","0","2","1449",
"2020-06-05","47","0","45","0","0","2","1467",
"2020-06-06","47","0","45","0","0","2","1482",
"2020-06-07","47","0","45","0","0","2","1483",
"2020-06-08","47","0","45","0","0","2","1487",
"2020-06-09","47","0","45","0","0","2","1505",
"2020-06-10","47","0","45","0","0","2","1513",
"2020-06-11","47","0","47","0","0","0","1523",
"2020-06-12","47","0","47","0","0","0","1531",
"2020-06-13","47","0","47","0","0","0","1540",
"2020-06-14","47","0","47","0","0","0","1552",
"2020-06-15","47","0","47","0","0","0","1559",
"2020-06-16","47","0","47","0","0","0","1568",
"2020-06-17","47","0","47","0","0","0","1575",
"2020-06-18","47","0","47","0","0","0","1579",
"2020-06-19","47","0","47","0","0","0","1588",
"2020-06-20","47","0","47","0","0","0","1592",
"2020-06-21","47","0","47","0","0","0","1592",
"2020-06-22","47","0","47","0","0","0","1595",
"2020-06-23","47","0","47","0","0","0","1600",
"2020-06-24","47","0","47","0","0","0","1603",
"2020-06-25","47","0","47","0","0","0","1605",
"2020-06-26","47","0","47","0","0","0","1609",
"2020-06-27","47","0","47","0","0","0","1611",
"2020-06-28","47","0","47","0","0","0","1615",
"2020-06-29","47","0","47","0","0","0","1618",
"2020-06-30","47","0","47","0","0","0","1625",
"2020-07-01","47","0","47","0","0","0","1625",
"2020-07-02","47","0","47","0","0","0","1649",
"2020-07-03","47","0","47","0","0","0","1659",
"2020-07-04","47","0","47","0","0","0","1665",
"2020-07-05","47","0","47","0","0","0","1666",
"2020-07-06","47","0","47","0","0","0","1668",
"2020-07-07","47","0","47","0","0","0","1677",
"2020-07-08","47","0","47","0","0","0","1682",
"2020-07-09","47","0","47","0","0","0","1686",
"2020-07-10","47","0","47","0","0","0","1690",
"2020-07-11","47","0","47","0","0","0","1697",
"2020-07-12","47","0","47","0","0","0","1700",
"2020-07-13","47","0","47","0","0","0","1703",
"2020-07-14","47","0","47","0","0","0","1725",
"2020-07-15","47","0","47","0","0","0","1738",
"2020-07-16","47","0","47","0","0","0","1747",
"2020-07-17","47","0","47","0","0","0","1766",
"2020-07-18","47","0","47","0","0","0","1774",
"2020-07-19","47","0","47","0","0","0","1781",
"2020-07-20","48","1","47","0","0","0","1789",
"2020-07-21","49","2","47","0","0","0","1801",
"2020-07-22","55","8","47","0","0","0","1836",
"2020-07-23","57","10","47","0","0","0","1864",
"2020-07-24","63","16","47","0","0","0","2033",
"2020-07-25","66","19","47","0","0","0","2108",
"2020-07-26","67","20","47","0","0","0","2140",
"2020-07-27","67","20","47","0","0","0","2160",
"2020-07-28","69","21","48","0","0","0","2185",
