"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","0","0","0","0",,,,
"2020-03-19","0","0","0","0",,,,
"2020-03-20","0","0","0","0",,,,
"2020-03-21","0","0","0","0",,,,
"2020-03-22","0","0","0","0",,,,
"2020-03-23","0","0","0","0",,,,
"2020-03-24","0","0","0","0",,,,
"2020-03-25","0","0","0","0",,,,
"2020-03-26","0","0","0","0",,,,
"2020-03-27","0","0","0","0",,,,
"2020-03-28","0","0","0","0",,,,
"2020-03-29","0","0","0","0",,,,
"2020-03-30","0","0","0","0",,,,
"2020-03-31","0","0","0","0",,,,
"2020-04-01","0","0","0","0",,,,
"2020-04-02","0","0","0","0",,,,
"2020-04-03","0","0","0","0",,,,
"2020-04-04","0","0","0","0",,,,
"2020-04-05","0","0","0","0",,,,
"2020-04-06","0","0","0","0",,,,
"2020-04-07","0","0","0","0",,,,
"2020-04-08","0","0","0","0",,,,
"2020-04-09","0","0","0","0",,,,
"2020-04-10","1","1","0","0",,,,
"2020-04-11","1","1","0","0",,,,
"2020-04-12","1","1","0","0",,,,
"2020-04-13","1","1","0","0",,,,
"2020-04-14","1","1","0","0",,,,
"2020-04-15","1","1","0","0",,,,
"2020-04-16","1","1","0","0",,,,
"2020-04-17","1","1","0","0",,,,
"2020-04-18","3","3","0","0",,,,
"2020-04-19","3","3","0","0",,,,
"2020-04-20","3","3","0","0",,,,
"2020-04-21","3","3","0","0",,,,
"2020-04-22","3","3","0","0",,,,
"2020-04-23","3","3","0","0",,,,
"2020-04-24","3","3","0","0",,,,
"2020-04-25","3","2","1","0",,,,
"2020-04-26","3","2","1","0",,,,
"2020-04-27","3","2","1","0",,,,
"2020-04-28","3","2","1","0",,,,
"2020-04-29","3","2","1","0",,,,
"2020-04-30","3","2","1","0",,,,
"2020-05-01","3","2","1","0",,,,
"2020-05-02","3","2","1","0",,,,
"2020-05-03","3","2","1","0",,,,
"2020-05-04","3","2","1","0",,,,
"2020-05-05","3","2","1","0",,,,
"2020-05-06","3","2","1","0",,,,
"2020-05-07","3","2","1","0",,,,
"2020-05-08","3","2","1","0","不明","0","1142",
"2020-05-09","3","2","1","0","-","0","1154",
"2020-05-10","3","2","1","0","-","0","1167",
"2020-05-11","3","2","1","0","-","0","1167",
"2020-05-12","3","2","1","0","0","0","1198",
"2020-05-13","3","2","1","0","0","0","1198",
"2020-05-14","3","2","1","0","0","0","1213",
"2020-05-15","3","2","1","0","0","0","1223",
"2020-05-16","3","2","1","0","0","0","1237",
"2020-05-17","3","2","1","0","0","0","1247",
"2020-05-18","3","2","1","0","0","0","1249",
"2020-05-19","3","2","1","0","0","0","1260",
"2020-05-20","3","1","2","0","0","0","1269",
"2020-05-21","3","1","2","0","0","0","1279",
"2020-05-22","3","1","2","0","0","0","1288",
"2020-05-23","3","1","2","0","0","0","1295",
"2020-05-24","3","1","2","0","0","0","1301",
"2020-05-25","3","0","3","0","0","0","1303",
"2020-05-26","3","0","3","0","0","0","1309",
"2020-05-27","3","0","3","0","0","0","1314",
"2020-05-28","3","0","3","0","0","0","1321",
"2020-05-29","3","0","3","0","0","0","1328",
"2020-05-30","3","0","3","0","0","0","1336",
"2020-05-31","3","0","3","0","0","0","1338",
"2020-06-01","3","0","3","0","0","0","1343",
"2020-06-02","3","0","3","0","0","0","1353",
"2020-06-03","3","0","3","0","0","0","1357",
"2020-06-04","3","0","3","0","0","0","1363",
"2020-06-05","3","0","3","0","0","0","1375",
"2020-06-06","3","0","3","0","0","0","1385",
"2020-06-07","3","0","3","0","0","0","1392",
"2020-06-08","3","0","3","0","0","0","1395",
"2020-06-09","3","0","3","0","0","0","1402",
"2020-06-10","3","0","3","0","0","0","1405",
"2020-06-11","3","0","3","0","0","0","1411",
"2020-06-12","3","0","3","0","0","0","1419",
"2020-06-13","3","0","3","0","0","0","1422",
"2020-06-14","3","0","3","0","0","0","1422",
"2020-06-15","3","0","3","0","0","0","1425",
"2020-06-16","3","0","3","0","0","0","1429",
"2020-06-17","3","0","3","0","0","0","1435",
"2020-06-18","3","0","3","0","0","0","1437",
"2020-06-19","3","0","3","0","0","0","1441",
"2020-06-20","3","0","3","0","0","0","1445",
"2020-06-21","3","0","3","0","0","0","1448",
"2020-06-22","3","0","3","0","0","0","1448",
"2020-06-23","3","0","3","0","0","0","1456",
"2020-06-24","3","0","3","0","0","0","1461",
"2020-06-25","3","0","3","0","0","0","1465",
"2020-06-26","3","0","3","0","0","0","1466",
"2020-06-27","3","0","3","0","0","0","1471",
"2020-06-28","3","0","3","0","0","0","1477",
"2020-06-29","3","0","3","0","0","0","1478",
"2020-06-30","3","0","3","0","0","0","1485",
"2020-07-01","3","0","3","0","0","0","1489",
"2020-07-02","4","1","3","0","0","0","1497",
"2020-07-03","4","1","3","0","0","0","1504",
"2020-07-04","4","1","3","0","0","0","1645",
"2020-07-05","4","1","3","0","0","0","1753",
"2020-07-06","4","1","3","0","0","0","1816",
"2020-07-07","4","1","3","0","0","0","1848",
"2020-07-08","4","1","3","0","0","0","1877",
"2020-07-09","4","1","3","0","0","0","1922",
"2020-07-10","4","1","3","0","0","0","1935",
"2020-07-11","4","1","3","0","0","0","1935",
"2020-07-12","5","2","3","0","0","0","1950",
"2020-07-13","5","2","3","0","0","0","2022",
"2020-07-14","5","2","3","0","0","0","2108",
"2020-07-15","5","2","3","0","0","0","2145",
"2020-07-16","5","2","3","0","0","0","2172",
"2020-07-17","5","2","3","0","0","0","2195",
"2020-07-18","5","2","3","0","0","0","2210",
"2020-07-19","5","2","3","0","0","0","2214",
"2020-07-20","5","2","3","0","0","0","2232",
"2020-07-21","5","2","3","0","0","0","2246",
"2020-07-22","5","1","4","0","0","0","2255",
"2020-07-23","5","1","4","0","0","0","2261",
"2020-07-24","5","1","4","0","0","0","2270",
"2020-07-25","6","2","4","0","0","0","2283",
"2020-07-26","6","2","4","0","0","0","2286",
"2020-07-27","6","2","4","0","0","0","2356",
"2020-07-28","7","3","4","0","0","0","2396",
"2020-07-29","10","6","4","0","0","0","2538",
"2020-07-30","11","6","5","0","0","0","2677",
"2020-07-31","15","10","5","0","0","0","2785",
"2020-08-01","16","11","5","0","0","0","2940",
"2020-08-02","18","13","5","0","0","0","3054",
"2020-08-03","18","13","5","0","0","0","3218",
"2020-08-04","19","14","5","0","0","0","3334",
"2020-08-05","19","14","5","0","0","0","3817",
"2020-08-06","21","16","5","0","0","0","3868",
"2020-08-07","21","16","5","0","0","0","3960",
"2020-08-08","21","16","5","0","0","0","4016",
"2020-08-09","21","16","5","0","0","0","4041",
"2020-08-10","21","16","5","0","0","0","4096",
"2020-08-11","21","16","5","0","0","0","4172",
"2020-08-12","21","16","5","0","0","0","4221",
"2020-08-13","21","13","8","0","0","0","4254",
"2020-08-14","21","13","8","0","0","0","4274",
"2020-08-15","21","13","8","0","0","0","4286",
"2020-08-16","21","13","8","0","0","0","4292",
"2020-08-17","21","11","10","0","0","0","4316",
"2020-08-18","21","11","10","0","0","0","4351",
"2020-08-19","22","11","11","0","0","0","4369",
"2020-08-20","22","9","13","0","0","0","4408",
"2020-08-21","22","8","14","0","0","0","4434",
"2020-08-22","22","8","14","0","0","0","4447",
"2020-08-23","22","8","14","0","0","0","4456",
"2020-08-24","22","5","17","0","0","0","4472",
"2020-08-25","22","5","17","0","0","0","4486",
"2020-08-26","22","3","19","0","0","0","4502",
"2020-08-27","22","2","20","0","0","0","4516",
"2020-08-28","22","1","21","0","0","0","4530",
"2020-08-29","22","1","21","0","0","0","4530",
"2020-08-30","22","0","22","0","0","0","4535",
"2020-08-31","22","0","22","0","0","0","4553",
"2020-09-01","22","0","22","0","0","0","4557",
"2020-09-02","22","0","22","0","0","0","4566",
"2020-09-03","22","0","22","0","0","0","4574",
"2020-09-04","22","0","22","0","0","0","4575",
"2020-09-05","22","0","22","0","0","0","4580",
"2020-09-06","22","0","22","0","0","0","4580",
"2020-09-07","22","0","22","0","0","0","4588",
"2020-09-08","22","0","22","0","0","0","4592",
"2020-09-09","22","0","22","0","0","0","4601",
"2020-09-10","22","0","22","0","0","0","4606",
"2020-09-11","22","0","22","0","0","0","4615",
"2020-09-12","23","1","22","0","0","0","4615",
"2020-09-13","31","9","22","0","0","0","4656",
"2020-09-14","32","10","22","0","0","0","4683",
"2020-09-15","34","12","22","0","0","0","4781",
"2020-09-16","34","12","22","0","0","0","4805",
"2020-09-17","35","13","22","0","0","0","4862",
"2020-09-18","35","12","23","0","0","0","4910",
"2020-09-19","36","13","23","0","0","0","4910",
"2020-09-20","36","13","23","0","0","0","5218",
"2020-09-21","36","13","23","0","0","0","5355",
"2020-09-22","36","13","23","0","0","0","5355",
"2020-09-23","36","13","23","0","0","0","5375",
"2020-09-24","36","12","24","0","0","0","5386",
"2020-09-25","36","11","25","0","0","0","5397",
"2020-09-26","36","7","29","0","0","0","5414",
"2020-09-27","36","7","29","0","0","0","5420",
"2020-09-28","36","7","29","0","0","0","5428",
"2020-09-29","36","6","30","0","0","0","5453",
"2020-09-30","36","5","31","0","0","0","5472",
"2020-10-01","36","5","31","0","0","0","5481",
"2020-10-02","36","5","31","0","0","0","5488",
"2020-10-03","36","5","31","0","0","0","5493",
"2020-10-04","36","5","31","0","0","0","5493",
"2020-10-05","36","5","31","0","0","0","5500",
"2020-10-06","36","5","31","0","0","0","5505",
"2020-10-07","36","4","32","0","0","0","5510",
"2020-10-08","36","4","32","0","0","0","5510",
"2020-10-09","36","3","33","0","0","0","5517",
"2020-10-10","36","3","33","0","0","0","5527",
"2020-10-11","36","2","34","0","0","0","5528",
"2020-10-12","36","2","34","0","0","0","5535",
"2020-10-13","36","1","35","0","0","0","5539",
"2020-10-14","36","1","35","0","0","0","5541",
"2020-10-15","36","1","35","0","0","0","5543",
"2020-10-16","36","0","36","0","0","0","5548",
"2020-10-17","36","0","36","0","0","0","5548",
"2020-10-18","36","0","36","0","0","0","5548",
"2020-10-19","36","0","36","0","0","0","5559",
"2020-10-20","36","0","36","0","0","0","5559",
"2020-10-21","35","0","35","0","0","0","5567",
"2020-10-22","35","0","35","0","0","0","5569",
"2020-10-23","35","0","35","0","0","0","5578",
"2020-10-24","35","0","35","0","0","0","5582",
"2020-10-25","35","0","35","0","0","0","5582",
"2020-10-26","37","2","35","0","0","0","5679",
"2020-10-27","37","2","35","0","0","0","5679",
"2020-10-28","38","3","35","0","0","0","5729",
"2020-10-29","38","3","35","0","0","0","5729",
"2020-10-30","38","3","35","0","0","0","5770",
"2020-10-31","38","3","35","0","0","0","5770",
"2020-11-01","38","3","35","0","0","0","5770",
"2020-11-02","38","3","35","0","0","0","5775",
"2020-11-03","38","3","35","0","0","0","5777",
"2020-11-04","38","2","36","0","0","0","5784",
"2020-11-05","38","2","36","0","0","0","5786",
"2020-11-06","38","2","36","0","0","0","5786",
"2020-11-07","43","5","37","0","0","1","5889",
"2020-11-08","43","5","37","0","0","1","5889",
"2020-11-09","50","13","37","0","0","0","5944",
"2020-11-10","51","14","37","0","0","0","6013",
"2020-11-11","51","14","37","0","0","0","6039",
"2020-11-12","51","14","37","0","0","0","6067",
"2020-11-13","52","13","39","0","0","0","6090",
"2020-11-14","52","11","41","0","0","0","6090",
"2020-11-15","52","11","41","0","0","0","6090",
"2020-11-16","52","11","41","0","0","0","6145",
"2020-11-17","52","11","41","0","0","0","6151",
"2020-11-18","53","12","41","0","0","0","6156",
"2020-11-19","53","11","42","0","0","0","6177",
"2020-11-20","53","10","43","0","0","0","6185",
"2020-11-21","53","7","46","0","0","0","6197",
"2020-11-22","53","7","46","0","0","0","15395",
"2020-11-23","53","7","46","0","0","0","15397",
"2020-11-24","54","7","46","0","0","1","15678",
"2020-11-25","56","7","48","0","0","1","15952",
"2020-11-26","58","8","49","0","0","1","16126",
"2020-11-27","58","8","49","0","0","1","16298",
"2020-11-28","58","5","52","0","0","1","16327",
"2020-11-29","58","4","53","0","0","1","16350",
"2020-11-30","58","5","52","0","0","1","16572",
"2020-12-01","58","5","52","0","0","1","16572",
"2020-12-02","60","7","52","0","0","1","17317",
"2020-12-03","61","8","52","0","0","1","17738",
"2020-12-04","61","8","52","0","0","1","17971",
"2020-12-05","61","8","52","0","0","1","18010",
"2020-12-06","63","6","56","0","0","1","18057",
"2020-12-07","65","8","56","0","0","1","18380",
"2020-12-08","65","8","56","0","0","1","18758",
"2020-12-09","66","9","56","0","0","1","19097",
"2020-12-10","67","10","56","0","0","1","19267",
"2020-12-11","67","9","57","0","0","1","19438",
"2020-12-12","67","9","57","0","0","1","19468",
"2020-12-13","67","9","57","0","0","1","19495",
"2020-12-14","67","8","58","0","0","1","19827",
"2020-12-15","68","9","58","0","1","1","20394",
"2020-12-16","68","9","58","0","1","1","20641",
"2020-12-17","68","8","59","0","1","1","20828",
"2020-12-18","68","8","59","0","1","1","20998",
"2020-12-19","68","7","60","0","1","1","21073",
"2020-12-20","69","7","61","0","1","1","21076",
"2020-12-21","69","7","61","0","1","1","21278",
"2020-12-22","70","7","62","0","1","1","21680",
"2020-12-23","74","9","64","0","0","1","21917",
"2020-12-24","79","14","64","0","0","1","22166",
"2020-12-25","79","13","65","0","0","1","23024",
"2020-12-26","84","17","65","0","0","2","23151",
"2020-12-27","87","20","65","0","0","2","23190",
"2020-12-28","95","28","65","0","1","2","23602",
"2020-12-29","101","34","65","0","1","2","23698",
"2020-12-30","111","43","66","0","1","2","24092",
"2020-12-31","118","46","66","0","1","6","24147",
"2021-01-01","119","51","66","0","1","2","24185",
"2021-01-02","120","51","67","0","1","2","24205",
"2021-01-03","123","49","72","0","1","2","24313",
"2021-01-04","127","53","72","0","2","2","25067",
"2021-01-05","129","53","74","0","2","2","25689","JP-31"
"2021-01-06","149","73","74","0","2","2","26013","JP-31"
"2021-01-07","156","75","79","0","3","2","26853","JP-31"
"2021-01-08","161","75","84","0","3","2","27288","JP-31"
"2021-01-09","163","74","86","1","3","2","27458","JP-31"
"2021-01-10","165","69","92","1","3","3","27458","JP-31"
"2021-01-11","165","66","95","1","3","3","27649","JP-31"
"2021-01-12","165","63","97","2","2","3","28173","JP-31"
"2021-01-13","166","57","104","2","2","3","28521","JP-31"
"2021-01-14","170","50","115","2","2","3","28928","JP-31"
"2021-01-15","173","50","118","2","2","3","29204","JP-31"
"2021-01-16","175","48","122","2","2","3","29320","JP-31"
"2021-01-17","177","49","123","2","2","3","29345","JP-31"
"2021-01-18","177","45","126","2","2","4","29861","JP-31"
"2021-01-19","179","45","128","2","2","4","30252","JP-31"
"2021-01-20","184","46","132","2","2","4","30737","JP-31"
"2021-01-21","186","42","139","2","2","3","31277","JP-31"
"2021-01-22","186","37","144","2","1","3","31666","JP-31"
"2021-01-23","189","35","149","2","1","3","31811","JP-31"
"2021-01-26","197","40","152","2","1","3","32694","JP-31"
"2021-01-27","198","39","154","2","0","3","33040","JP-31"
"2021-01-28","198","36","157","2","0","3","33403","JP-31"
"2021-01-29","198","32","161","2","0","3","33635","JP-31"
"2021-01-30","198","29","164","2","0","3","33712","JP-31"
"2021-01-31","198","29","164","2","0","3","33712","JP-31"
"2021-02-01","199","26","168","2","0","3","33955","JP-31"
"2021-02-02","202","25","172","2","0","3","34630","JP-31"
"2021-02-03","203","23","175","2","0","3","35387","JP-31"
"2021-02-04","204","21","178","2","1","3","35796","JP-31"
"2021-02-05","206","20","181","2","1","3","35979","JP-31"
"2021-02-06","207","18","183","2","1","4","36012","JP-31"
"2021-02-07","207","18","183","2","1","4","36013","JP-31"
"2021-02-08","207","19","183","2","1","3","36319","JP-31"
"2021-02-09","207","19","183","2","1","3","36612","JP-31"
"2021-02-10","207","18","184","2","0","3","37113","JP-31"
"2021-02-11","207","17","185","2","0","3","37118","JP-31"
"2021-02-12","207","16","186","2","0","3","37391","JP-31"
"2021-02-13","207","13","189","2","0","3","37420","JP-31"
"2021-02-14","207","10","192","2","0","3","37425","JP-31"
"2021-02-15","207","8","194","2","0","3","37775","JP-31"
"2021-02-16","207","8","194","2","0","3","38087","JP-31"
"2021-02-17","207","3","199","2","0","3","38438","JP-31"
"2021-02-18","207","2","200","2","0","3","38653","JP-31"
"2021-02-19","207","2","200","2","0","3","38945","JP-31"
"2021-02-20","208","3","200","2","0","3","38962","JP-31"
"2021-02-21","208","3","200","2","0","3","38963","JP-31"
"2021-02-22","208","3","200","2","0","3","39345","JP-31"
"2021-02-23","208","3","200","2","0","3","39407","JP-31"
"2021-02-24","208","2","201","2","0","3","39894","JP-31"
"2021-02-25","208","1","202","2","0","3","40189","JP-31"
"2021-02-26","210","1","202","2","0","5","40441","JP-31"
"2021-02-27","210","3","202","2","0","3","40638","JP-31"
"2021-02-28","210","3","202","2","0","3","40661","JP-31"
"2021-03-01","210","3","202","2","0","3","41147","JP-31"
"2021-03-02","210","3","202","2","0","3","41592","JP-31"
"2021-03-03","210","3","202","2","0","3","41830","JP-31"
"2021-03-04","210","3","202","2","0","3","42025","JP-31"
"2021-03-05","210","3","202","2","0","3","42207","JP-31"
"2021-03-06","210","2","203","2","0","3","42239","JP-31"
"2021-03-07","210","2","203","2","0","3","42242","JP-31"
"2021-03-08","210","2","203","2","0","3","42547","JP-31"
"2021-03-09","210","2","203","2","0","3","42929","JP-31"
"2021-03-10","210","1","204","2","0","3","43168","JP-31"
"2021-03-11","210","0","205","2","0","3","43293","JP-31"
"2021-03-12","210","1","205","2","0","2","43462","JP-31"
"2021-03-13","210","1","205","2","0","2","43485","JP-31"
"2021-03-14","210","1","205","2","0","2","43489","JP-31"
"2021-03-15","210","1","205","2","0","2","43885","JP-31"
"2021-03-16","210","1","205","2","0","2","44155","JP-31"
"2021-03-17","210","1","205","2","0","2","44430","JP-31"
"2021-03-18","210","0","205","2","0","3","44710","JP-31"
"2021-03-19","210","0","205","2","0","3","44847","JP-31"
"2021-03-20","210","0","205","2","0","3","44852","JP-31"
"2021-03-21","210","0","205","2","0","3","44852","JP-31"
"2021-03-22","210","0","205","2","0","3","45162","JP-31"
"2021-03-23","210","0","205","2","0","3","45461","JP-31"
"2021-03-24","210","0","205","2","0","3","45760","JP-31"
"2021-03-25","211","1","205","2","0","3","45990","JP-31"
"2021-03-26","211","1","205","2","0","3","46231","JP-31"
"2021-03-27","211","1","205","2","0","3","46269","JP-31"
"2021-03-28","211","1","205","2","0","3","46270","JP-31"
"2021-03-29","213","2","205","2","0","4","46740","JP-31"
"2021-03-30","230","10","205","2","0","13","47160","JP-31"
"2021-03-31","241","25","205","2","0","9","47802","JP-31"
"2021-04-01","260","35","205","2","0","18","48355","JP-31"
"2021-04-02","269","54","205","2","0","8","48976","JP-31"
"2021-04-03","276","59","206","2","0","9","48976","JP-31"
"2021-04-04","277","65","205","2","0","5","49625","JP-31"
"2021-04-05","277","66","205","2","0","4","50134","JP-31"
"2021-04-06","279","67","206","2","0","4","50607","JP-31"
"2021-04-07","281","69","206","2","0","4","51026","JP-31"
"2021-04-08","284","68","207","2","0","7","51512","JP-31"
"2021-04-09","291","72","207","2","0","10","51828","JP-31"
"2021-04-10","291","72","207","2","0","10","51998","JP-31"
"2021-04-11","291","72","207","2","0","10","51998","JP-31"
"2021-04-12","302","74","220","2","0","6","52985","JP-31"
"2021-04-13","308","75","221","2","0","10","53747","JP-31"
"2021-04-14","313","78","223","2","0","10","54323","JP-31"
"2021-04-15","320","80","226","2","0","12","54749","JP-31"
"2021-04-16","326","84","231","2","0","9","55521","JP-31"
"2021-04-17","334","84","235","2","0","13","56026","JP-31"
"2021-04-18","334","84","235","2","0","13","56541","JP-31"
"2021-04-19","343","96","238","2","0","7","57430","JP-31"
"2021-04-20","343","90","246","2","0","5","57886","JP-31"
"2021-04-21","350","83","255","2","0","10","58327","JP-31"
"2021-04-22","351","81","262","2","0","6","58639","JP-31"
"2021-04-23","352","74","270","2","0","6","59075","JP-31"
"2021-04-24","352","70","275","2","0","5","59150","JP-31"
"2021-04-25","356","66","281","2","0","7","59348","JP-31"
"2021-04-26","362","64","285","2","0","11","59994","JP-31"
"2021-04-27","364","69","288","2","0","5","60760","JP-31"
"2021-04-28","365","64","293","2","0","6","61161","JP-31"
"2021-04-29","369","60","298","2","0","9","61323","JP-31"
"2021-04-30","372","61","304","2","0","5","61690","JP-31"
"2021-05-01","373","58","307","2","0","6","61790","JP-31"
"2021-05-02","374","51","316","2","0","5","61944","JP-31"
"2021-05-03","374","47","316","2","0","9","61953","JP-31"
"2021-05-04","377","44","331","2","0","0","61972","JP-31"
"2021-05-05","377","37","332","2","0","6","62070","JP-31"
"2021-05-06","380","39","333","2","0","6","62922","JP-31"
"2021-05-07","384","37","339","2","0","6","63825","JP-31"
"2021-05-08","392","36","343","2","0","11","64022","JP-31"
"2021-05-09","392","36","343","2","0","11","64106","JP-31"
"2021-05-10","401","35","353","2","0","11","64952","JP-31"
"2021-05-11","404","41","354","2","0","7","65378","JP-31"
"2021-05-12","405","40","357","2","1","6","65771","JP-31"
"2021-05-13","407","38","360","2","1","7","66331","JP-31"
"2021-05-14","423","44","365","2","1","12","67483","JP-31"
"2021-05-15","429","50","367","2","1","10","67810","JP-31"
"2021-05-16","429","50","367","2","1","10","67881","JP-31"
"2021-05-17","436","56","372","2","1","6","68358","JP-31"
"2021-05-18","440","50","378","2","1","10","68998","JP-31"
"2021-05-19","442","51","382","2","1","7","69477","JP-31"
"2021-05-20","442","49","385","2","0","6","69791","JP-31"
"2021-05-21","444","46","390","2","0","6","70130","JP-31"
"2021-05-22","448","42","395","2","0","9","70298","JP-31"
"2021-05-23","453","41","400","2","0","10","70646","JP-31"
"2021-05-24","455","35","409","2","0","9","71265","JP-31"
"2021-05-25","459","35","411","2","0","11","71749","JP-31"
"2021-05-26","462","39","413","2","0","8","72005","JP-31"
"2021-05-27","462","39","414","2","0","7","72444","JP-31"
"2021-05-28","463","35","418","2","0","8","72736","JP-31"
"2021-05-29","463","33","421","2","0","7","72766","JP-31"
"2021-05-30","463","33","421","2","0","7","72783","JP-31"
"2021-05-31","465","33","423","2","0","7","72783","JP-31"
"2021-06-01","466","32","424","2","0","8","73347","JP-31"
"2021-06-02","466","30","427","2","0","7","73693","JP-31"
"2021-06-03","466","25","432","2","0","7","73958","JP-31"
"2021-06-04","466","25","432","2","0","7","74177","JP-31"
"2021-06-05","466","22","435","2","0","7","74547","JP-31"
"2021-06-06","466","22","435","2","0","7","74560","JP-31"
"2021-06-07","466","18","439","2","0","7","74779","JP-31"
"2021-06-08","466","15","442","2","0","7","75015","JP-31"
"2021-06-09","466","11","446","2","0","7","75308","JP-31"
"2021-06-10","466","11","446","2","0","7","75524","JP-31"
"2021-06-11","466","9","448","2","0","7","78980","JP-31"
"2021-06-12","466","8","449","2","0","7","79256","JP-31"
"2021-06-13","466","8","449","2","0","7","79328","JP-31"
"2021-06-15","466","5","452","2","0","7","79855","JP-31"
"2021-06-16","466","4","453","2","0","7","80149","JP-31"
"2021-06-17","466","3","454","2","0","7","80363","JP-31"
"2021-06-18","466","3","454","2","0","7","80596","JP-31"
"2021-06-19","466","3","454","2","0","7","80799","JP-31"
"2021-06-20","466","3","454","2","0","7","80814","JP-31"
"2021-06-21","466","3","454","2","0","7","80826","JP-31"
"2021-06-22","466","2","455","2","0","7","81177","JP-31"
"2021-06-23","466","2","455","2","0","7","81445","JP-31"
"2021-06-24","466","2","455","2","0","7","81812","JP-31"
"2021-06-25","466","2","455","2","0","7","82184","JP-31"
"2021-06-26","466","2","455","2","0","7","82396","JP-31"
"2021-06-27","466","2","455","2","0","7","82415","JP-31"
"2021-06-28","466","2","455","2","0","7","82440","JP-31"
"2021-06-29","470","3","455","2","0","10","82819","JP-31"
