"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","0","0","0","0",,,,
"2020-03-19","0","0","0","0",,,,
"2020-03-20","0","0","0","0",,,,
"2020-03-21","0","0","0","0",,,,
"2020-03-22","0","0","0","0",,,,
"2020-03-23","0","0","0","0",,,,
"2020-03-24","0","0","0","0",,,,
"2020-03-25","0","0","0","0",,,,
"2020-03-26","1","1","0","0",,,,
"2020-03-27","1","1","0","0",,,,
"2020-03-28","1","1","0","0",,,,
"2020-03-29","1","1","0","0",,,,
"2020-03-30","1","1","0","0",,,,
"2020-03-31","1","1","0","0",,,,
"2020-04-01","2","2","0","0",,,,
"2020-04-02","3","3","0","0",,,,
"2020-04-03","3","3","0","0",,,,
"2020-04-04","3","3","0","0",,,,
"2020-04-05","3","3","0","0",,,,
"2020-04-06","3","3","0","0",,,,
"2020-04-07","3","3","0","0",,,,
"2020-04-08","3","3","0","0",,,,
"2020-04-09","3","3","0","0",,,,
"2020-04-10","3","3","0","0",,,,
"2020-04-11","4","4","0","0",,,,
"2020-04-12","4","4","0","0",,,,
"2020-04-13","4","4","0","0",,,,
"2020-04-14","4","4","0","0",,,,
"2020-04-15","4","4","0","0",,,,
"2020-04-16","4","3","1","0",,,,
"2020-04-17","6","5","1","0",,,,
"2020-04-18","7","6","1","0",,,,
"2020-04-19","8","7","1","0",,,,
"2020-04-20","10","9","1","0",,,,
"2020-04-21","10","8","2","0",,,,
"2020-04-22","10","8","2","0",,,,
"2020-04-23","10","8","2","0",,,,
"2020-04-24","10","7","3","0",,,,
"2020-04-25","10","7","3","0",,,,
"2020-04-26","10","7","3","0",,,,
"2020-04-27","10","6","4","0",,,,
"2020-04-28","10","6","4","0",,,,
"2020-04-29","10","6","4","0",,,,
"2020-04-30","10","6","4","0",,,,
"2020-05-01","10","6","4","0",,,,
"2020-05-02","10","6","4","0",,,,
"2020-05-03","10","6","4","0",,,,
"2020-05-04","10","6","4","0",,,,
"2020-05-05","10","6","4","0",,,,
"2020-05-06","10","5","5","0",,,,
"2020-05-07","10","5","5","0",,,,
"2020-05-08","11","4","7","不明","不明","4","1446",
"2020-05-09","11","4","7","-","-","4","1213",
"2020-05-10","11","3","8","-","-","3","1500",
"2020-05-11","11","3","8","-","-","3","1513",
"2020-05-12","11","3","8","0","0","0","1544",
"2020-05-13","11","3","8","0","0","0","1516",
"2020-05-14","10","3","7","0","0","0","1536",
"2020-05-15","10","3","7","0","0","0","1585",
"2020-05-16","10","3","7","0","0","0","1599",
"2020-05-17","10","3","7","0","0","0","1616",
"2020-05-18","10","3","7","0","0","0","1616",
"2020-05-19","10","3","7","0","0","0","1623",
"2020-05-20","10","2","8","0","0","0","1653",
"2020-05-21","10","1","9","0","0","0","1666",
"2020-05-22","10","1","9","0","0","0","1685",
"2020-05-23","10","1","9","0","0","0","1685",
"2020-05-24","10","1","9","0","0","0","1685",
"2020-05-25","10","1","9","0","0","0","1713",
"2020-05-26","10","0","10","0","0","0","1739",
"2020-05-27","10","0","10","0","0","0","1745",
"2020-05-28","10","0","10","0","0","0","1852",
"2020-05-29","10","0","10","0","0","0","1859",
"2020-05-30","10","0","10","0","0","0","1859",
"2020-05-31","10","0","10","0","0","0","1859",
"2020-06-01","10","0","10","0","0","0","1871",
"2020-06-02","10","0","10","0","0","0","1880",
"2020-06-03","10","0","10","0","0","0","1918",
"2020-06-04","10","0","10","0","0","0","1964",
"2020-06-05","10","0","10","0","0","0","1964",
"2020-06-06","10","0","10","0","0","0","1982",
"2020-06-07","10","0","10","0","0","0","1998",
"2020-06-08","10","0","10","0","0","0","2009",
"2020-06-09","10","0","10","0","0","0","2009",
"2020-06-10","10","0","10","0","0","0","2049",
"2020-06-11","10","0","10","0","0","0","2157",
"2020-06-12","11","1","10","0","0","0","2163",
"2020-06-13","11","1","10","0","0","0","2163",
"2020-06-14","11","1","10","0","0","0","2289",
"2020-06-15","11","1","10","0","0","0","2305",
"2020-06-16","11","1","10","0","0","0","2305",
"2020-06-17","11","1","10","0","0","0","2341",
"2020-06-18","11","1","10","0","0","0","2384",
"2020-06-19","11","1","10","0","0","0","2413",
"2020-06-20","11","1","10","0","0","0","2423",
"2020-06-21","11","1","10","0","0","0","2452",
"2020-06-22","11","1","10","0","0","0","2465",
"2020-06-23","11","1","10","0","0","0","2494",
"2020-06-24","11","1","10","0","0","0","2494",
"2020-06-25","11","1","10","0","0","0","2507",
"2020-06-26","11","1","10","0","0","0","2534",
"2020-06-27","11","1","10","0","0","0","2561",
"2020-06-28","11","1","10","0","0","0","2561",
"2020-06-29","11","1","10","0","0","0","2563",
"2020-06-30","11","0","11","0","0","0","2587",
"2020-07-01","12","1","11","0","0","0","2611",
"2020-07-02","21","10","11","0","0","0","2628",
"2020-07-03","21","10","11","0","0","0","2654",
"2020-07-04","51","40","11","0","0","0","2784",
"2020-07-05","85","74","11","0","0","0","2784",
"2020-07-06","107","96","11","0","0","0","3726",
"2020-07-07","110","99","11","0","0","0","4237",
"2020-07-08","122","111","11","0","0","0","4841",
"2020-07-09","122","111","11","0","0","0","4841",
"2020-07-10","124","111","11","0","0","2","6048",
"2020-07-11","132","121","11","0","0","0","6512",
"2020-07-12","145","134","11","0","0","0","6949",
"2020-07-13","150","136","14","0","0","0","6949",
"2020-07-14","155","125","30","0","0","0","7150",
"2020-07-15","158","109","49","0","0","0","7605",
"2020-07-16","162","88","74","0","0","0","8023",
"2020-07-17","162","74","88","0","0","0","8156",
"2020-07-18","164","75","89","0","0","0","8267",
"2020-07-19","165","75","89","0","0","1","8314",
"2020-07-20","170","69","101","0","0","0","8314",
"2020-07-21","172","63","108","0","0","1","8314",
"2020-07-22","172","63","108","0","0","1","8314",
"2020-07-23","174","62","112","0","0","0","8642",
"2020-07-24","203","78","125","0","0","0","9007",
"2020-07-25","203","78","125","0","0","0","9099",
"2020-07-26","211","82","129","0","0","0","9513",
"2020-07-27","216","84","132","0","0","0","9619",
"2020-07-28","219","81","138","0","0","0","9768",
"2020-07-29","232","85","147","0","0","0","10026",
"2020-07-30","232","85","147","0","0","0","10274",
"2020-07-31","236","84","152","0","0","0","10464",
"2020-08-01","252","98","154","0","0","0","10790",
"2020-08-02","256","98","154","0","0","4","10949",
"2020-08-03","256","80","176","0","0","0","10999",
"2020-08-04","262","77","183","2","0","0","11128",
"2020-08-05","262","77","183","2","0","0","11306",
"2020-08-06","266","76","190","2","0","2","11550",
"2020-08-07","273","77","196","2","0","2","11730",
"2020-08-08","275","75","198","2","0","0","12147",
"2020-08-09","277","55","209","3","2","10","12235",
"2020-08-10","277","55","209","3","2","10","12288",
"2020-08-11","277","37","229","3","2","8","12339",
"2020-08-12","277","37","229","3","2","8","12432",
"2020-08-13","277","33","233","4","2","7","12585",
"2020-08-14","281","24","242","4","2","11","12663",
"2020-08-15","281","24","242","4","2","11","13001",
"2020-08-16","296","26","244","4","2","22","13001",
"2020-08-17","328","63","249","7","2","9","13337",
"2020-08-18","335","64","253","7","2","11","13513",
"2020-08-19","337","66","258","7","2","6","13671",
"2020-08-20","340","65","261","8","2","6","13958",
"2020-08-21","340","65","261","8","2","6","14082",
"2020-08-22","340","65","261","8","2","6","14082",
"2020-08-23","342","66","264","8","2","4","14082",
"2020-08-24","346","66","265","9","2","6","14360",
"2020-08-25","348","61","274","9","2","4","14575",
"2020-08-26","349","55","274","10","2","10","14714",
"2020-08-27","351","51","287","11","1","2","14880",
"2020-08-28","356","50","290","11","1","5","14952",
"2020-08-29","359","52","293","11","1","3","15116",
"2020-08-30","361","52","296","11","1","2","15116",
"2020-08-31","362","53","297","11","1","1","15653",
"2020-09-01","362","53","297","11","1","1","15890",
"2020-09-02","363","52","299","11","1","1","16024",
"2020-09-03","368","50","302","11","1","5","16129",
"2020-09-04","370","49","302","11","1","8","16322",
"2020-09-05","370","49","302","11","1","8","16322",
"2020-09-06","371","40","319","11","1","1","16322",
"2020-09-07","371","40","319","11","1","1","16697",
"2020-09-08","371","36","324","11","1","0","16769",
"2020-09-09","371","36","324","11","1","0","16872",
"2020-09-10","372","25","335","11","1","1","17011",
"2020-09-11","372","17","343","11","1","1","17075",
"2020-09-12","372","13","372","11","1","24","17075",
"2020-09-13","372","13","372","11","1","24","17075",
"2020-09-14","372","13","372","11","1","24","17221",
"2020-09-15","373","7","372","11","1","17","17314",
"2020-09-16","373","7","372","11","1","17","17421",
"2020-09-17","376","10","376","12","1","22","17489",
"2020-09-18","376","10","376","12","1","22","17562",
"2020-09-19","376","8","368","12","0","12","17562",
"2020-09-20","376","8","368","12","0","12","17562",
"2020-09-21","377","7","370","12","0","12","17562",
"2020-09-22","377","7","370","12","0","12","17562",
"2020-09-23","377","7","370","12","0","12","17910",
"2020-09-24","389","16","373","12","0","12","18115",
"2020-09-25","400","17","376","12","0","5","18249",
"2020-09-26","400","17","376","12","0","5","18249",
"2020-09-27","400","17","376","12","0","5","18249",
"2020-09-28","411","29","376","12","0","6","18752",
"2020-09-29","415","34","378","12","0","9","18871",
"2020-09-30","415","34","378","12","0","9","18986",
"2020-10-01","422","38","379","12","0","7","19127",
"2020-10-02","422","38","379","12","0","7","19261",
"2020-10-03","422","38","379","12","0","7","19261",
"2020-10-04","428","38","379","12","0","1","19261",
"2020-10-05","435","25","403","12","0","5","19588",
"2020-10-06","440","25","410","12","0","7","19713",
"2020-10-07","440","25","410","12","0","7","19852",
"2020-10-08","447","31","413","12","0","9","20098",
"2020-10-09","447","31","413","12","0","9","20254",
"2020-10-10","447","31","413","12","0","9","20254",
"2020-10-11","447","31","413","12","0","9","20254",
"2020-10-12","456","27","428","12","0","11","20585",
"2020-10-13","456","24","432","12","0","12","20797",
"2020-10-14","456","24","432","12","0","12","21051",
"2020-10-15","456","24","432","12","0","12","21218",
"2020-10-16","462","20","439","12","0","9","21290",
"2020-10-17","462","20","439","12","0","9","21290",
"2020-10-18","463","18","463","12","0","30","21290",
"2020-10-19","463","18","463","12","0","30","21449",
"2020-10-20","463","18","463","12","0","30","21538",
"2020-10-21","463","10","453","12","0","12","21588",
"2020-10-22","463","10","453","12","0","12","21644",
"2020-10-23","463","10","453","12","0","12","21698",
"2020-10-24","463","10","453","12","0","12","21698",
"2020-10-25","463","7","456","12","0","12","21698",
"2020-10-26","463","7","456","12","0","12","21808",
"2020-10-27","463","7","456","12","0","12","21887",
"2020-10-28","463","7","456","12","0","12","22011",
"2020-10-29","468","5","459","12","1","8","22105",
"2020-10-30","468","5","459","12","1","8","22179",
"2020-10-31","468","5","459","12","1","8","22179",
"2020-11-01","468","5","459","12","1","8","22179",
"2020-11-02","475","12","463","13","0","13","22533",
"2020-11-03","475","12","463","13","0","13","22533",
"2020-11-04","488","20","463","13","0","8","22896",
"2020-11-05","505","24","464","13","0","4","23128",
"2020-11-06","505","24","464","13","0","4","23324",
"2020-11-07","505","24","464","13","0","4","23324",
"2020-11-08","523","54","464","13","0","8","23324",
"2020-11-09","537","67","467","13","0","10","23874",
"2020-11-10","537","67","467","13","0","10","24022",
"2020-11-11","542","67","470","13","0","8","24227",
"2020-11-12","542","67","470","13","0","8","24469",
"2020-11-13","542","67","470","13","0","8","24653",
"2020-11-14","542","67","470","13","0","8","24653",
"2020-11-15","554","60","493","13","0","12","24653",
"2020-11-16","558","45","512","13","0","12","24895",
"2020-11-17","558","45","512","13","0","12","25010",
"2020-11-18","558","45","512","13","0","12","25132",
"2020-11-19","576","33","527","13","0","3","25386",
"2020-11-20","592","48","537","13","0","6","25683",
"2020-11-21","592","48","537","13","0","6","25683",
"2020-11-22","592","48","537","13","0","6","25683",
"2020-11-23","592","48","537","13","0","6","25683",
"2020-11-24","592","48","537","13","0","6","26482",
"2020-11-25","602","51","551","13","0","13","26737",
"2020-11-26","607","40","567","13","0","13","27018",
"2020-11-27","607","40","567","13","0","13","27152",
"2020-11-28","612","41","571","13","1","13","27152",
"2020-11-29","612","41","571","13","1","13","27152",
"2020-11-30","612","41","571","13","1","13","27472",
"2020-12-01","612","41","571","13","1","13","27621",
"2020-12-02","629","36","593","13","1","13","27755",
"2020-12-03","629","36","593","13","1","13","27883",
"2020-12-04","637","35","602","13","1","13","28192",
"2020-12-05","637","35","602","13","1","13","28192",
"2020-12-06","637","35","602","13","1","13","28192",
"2020-12-07","673","56","617","13","1","13","28667",
"2020-12-08","701","82","619","13","1","13","28832",
"2020-12-09","741","120","621","13","1","13","29079",
"2020-12-10","741","120","621","13","1","13","29617",
"2020-12-11","741","120","621","13","1","13","30031",
"2020-12-12","796","167","629","13","1","13","30031",
"2020-12-13","823","183","640","13","1","13","30031",
"2020-12-14","837","184","653","13","1","13","32158",
"2020-12-15","837","184","653","13","1","13","32430",
"2020-12-16","837","184","653","13","1","13","32950",
"2020-12-17","837","184","653","13","1","13","33532",
"2020-12-18","868","157","711","13","1","13","33826",
"2020-12-19","868","157","711","13","1","13","33826",
"2020-12-20","875","136","739","13","1","13","33826",
"2020-12-21","875","136","739","13","1","13","34683",
"2020-12-22","890","95","795","13","1","13","34915",
"2020-12-23","890","95","795","13","1","13","35196",
"2020-12-24","890","95","795","13","1","13","35610",
"2020-12-25","920","89","831","13","1","13","36020",
"2020-12-26","920","89","831","13","1","13","36020",
"2020-12-27","946","102","844","13","1","13","36020",
"2020-12-28","966","110","856","13","2","13","37656",
"2020-12-29","966","110","856","13","2","13","38299",
"2020-12-30","1006","131","875","14","2","14","38705",
"2020-12-31","1006","131","875","14","2","14","39350",
"2021-01-01","1016","136","880","14","2","14","39647",
"2021-01-02","1016","136","880","14","2","14","39751",
"2021-01-03","1033","128","905","14","2","14","40094",
"2021-01-04","1060","146","914","14","2","14","40734",
"2021-01-05","1072","150","922","14","2","14","41163","JP-46"
"2021-01-06","1094","163","931","14","2","14","41836","JP-46"
"2021-01-07","1157","188","969","14","1","14","42440","JP-46"
"2021-01-08","1189","214","975","14","1","14","43160","JP-46"
"2021-01-09","1189","214","975","14","1","14","43828","JP-46"
"2021-01-10","1189","214","975","14","1","14","44599","JP-46"
"2021-01-11","1245","245","1000","14","2","14","44904","JP-46"
"2021-01-12","1260","248","1012","14","2","14","45378","JP-46"
"2021-01-13","1301","244","1057","14","3","14","46478","JP-46"
"2021-01-14","1301","244","1057","14","3","14","47153","JP-46"
"2021-01-15","1301","244","1057","14","3","14","47627","JP-46"
"2021-01-16","1301","244","1057","14","3","14","48116","JP-46"
"2021-01-17","1357","232","1125","15","2","15","48606","JP-46"
"2021-01-18","1371","222","1125","15","1","9","48894","JP-46"
"2021-01-19","1387","211","1176","15","1","15","49617","JP-46"
"2021-01-20","1460","224","1236","15","2","15","50329","JP-46"
"2021-01-21","1460","224","1236","15","2","15","51028","JP-46"
"2021-01-22","1497","225","1272","15","2","15","51830","JP-46"
"2021-01-23","1497","225","1272","15","2","15","52400","JP-46"
"2021-01-26","1543","223","1320","16","3","16","53383","JP-46"
"2021-01-27","1556","215","1341","18","3","18","53914","JP-46"
"2021-01-28","1566","207","1359","18","2","18","54334","JP-46"
"2021-01-29","1598","204","1394","18","2","18","54720","JP-46"
"2021-01-30","1598","204","1394","18","2","18","54720","JP-46"
"2021-01-31","1598","204","1394","18","2","18","54720","JP-46"
"2021-02-01","1632","188","1444","19","4","19","56203","JP-46"
"2021-02-02","1632","188","1444","19","4","19","56867","JP-46"
"2021-02-03","1632","188","1444","19","4","19","57426","JP-46"
"2021-02-04","1640","155","1485","19","2","19","57727","JP-46"
"2021-02-05","1640","155","1485","19","2","19","58166","JP-46"
"2021-02-06","1656","111","1541","19","3","15","58619","JP-46"
"2021-02-07","1669","102","1554","19","3","6","58619","JP-46"
"2021-02-08","1665","97","1562","19","3","13","59189","JP-46"
"2021-02-09","1675","83","1582","19","3","9","59643","JP-46"
"2021-02-10","1685","84","1591","19","3","9","60543","JP-46"
"2021-02-11","1685","84","1591","19","3","9","61000","JP-46"
"2021-02-12","1705","82","1607","20","5","4","61179","JP-46"
"2021-02-13","1716","84","1621","21","5","10","61770","JP-46"
"2021-02-14","1724","89","1627","21","5","13","61770","JP-46"
"2021-02-15","1726","94","1630","22","5","20","63076","JP-46"
"2021-02-16","1738","89","1637","22","5","10","63634","JP-46"
"2021-02-17","1739","92","1646","24","4","23","64107","JP-46"
"2021-02-18","1742","92","1647","24","4","21","64545","JP-46"
"2021-02-19","1743","87","1655","24","4","23","64980","JP-46"
"2021-02-20","1744","78","1665","24","4","23","65178","JP-46"
"2021-02-21","1745","76","1668","24","5","23","65178","JP-46"
"2021-02-22","1747","73","1672","24","5","22","65502","JP-46"
"2021-02-23","1754","61","1686","25","3","18","66182","JP-46"
"2021-02-24","1758","65","1689","26","3","22","66588","JP-46"
"2021-02-25","1758","55","1703","26","2","26","67053","JP-46"
"2021-02-26","1758","39","1719","26","2","26","67228","JP-46"
"2021-02-27","1761","35","1723","26","2","23","67412","JP-46"
"2021-02-28","1761","35","1726","26","2","26","67412","JP-46"
"2021-03-01","1761","34","1727","26","2","26","67604","JP-46"
"2021-03-02","1762","32","1729","27","2","26","67958","JP-46"
"2021-03-03","1762","27","1735","27","1","27","68124","JP-46"
"2021-03-04","1762","24","1738","27","1","27","68286","JP-46"
"2021-03-05","1762","21","1741","27","1","27","68410","JP-46"
"2021-03-06","1762","16","1746","27","1","27","68566","JP-46"
"2021-03-07","1762","16","1746","27","1","27","68691","JP-46"
"2021-03-08","1762","16","1746","27","1","27","68716","JP-46"
"2021-03-09","1762","13","1749","27","2","27","69052","JP-46"
"2021-03-10","1762","12","1750","27","2","27","69200","JP-46"
"2021-03-11","1762","11","1751","27","2","27","69332","JP-46"
"2021-03-12","1762","10","1752","27","1","27","69460","JP-46"
"2021-03-13","1762","9","1753","27","1","27","69602","JP-46"
"2021-03-14","1763","9","1753","27","1","26","69694","JP-46"
"2021-03-15","1763","10","1753","27","1","27","69724","JP-46"
"2021-03-16","1764","8","1755","27","1","26","70027","JP-46"
"2021-03-17","1765","7","1757","27","1","26","70174","JP-46"
"2021-03-18","1766","7","1758","27","1","26","70367","JP-46"
"2021-03-19","1766","8","1758","27","1","27","70498","JP-46"
"2021-03-20","1769","8","1758","27","1","24","70682","JP-46"
"2021-03-21","1774","10","1759","28","0","23","70682","JP-46"
"2021-03-22","1775","14","1760","28","0","27","70870","JP-46"
"2021-03-23","1775","15","1760","28","0","28","71203","JP-46"
"2021-03-24","1776","15","1760","28","0","27","71390","JP-46"
"2021-03-25","1778","16","1760","28","0","26","71639","JP-46"
"2021-03-26","1790","17","1761","28","0","16","71820","JP-46"
"2021-03-27","1800","27","1763","28","0","18","72126","JP-46"
"2021-03-28","1812","37","1763","28","0","16","72126","JP-46"
"2021-03-29","1817","48","1764","28","0","23","72635","JP-46"
"2021-03-30","1823","46","1771","28","0","22","72970","JP-46"
"2021-03-31","1830","51","1772","28","0","21","73230","JP-46"
"2021-04-01","1832","55","1775","28","0","26","73558","JP-46"
"2021-04-02","1839","54","1778","28","0","21","73778","JP-46"
"2021-04-03","1847","59","1780","28","0","20","73778","JP-46"
"2021-04-04","1855","64","1783","28","0","20","74384","JP-46"
"2021-04-05","1863","65","1790","28","0","20","74509","JP-46"
"2021-04-06","1870","66","1797","28","0","21","74841","JP-46"
"2021-04-07","1886","67","1803","28","0","12","75119","JP-46"
"2021-04-08","1886","67","1803","28","0","12","75535","JP-46"
"2021-04-09","1905","82","1815","28","0","20","75797","JP-46"
"2021-04-10","1913","80","1825","28","0","20","75797","JP-46"
"2021-04-11","1918","78","1835","28","0","23","75797","JP-46"
"2021-04-12","1922","82","1836","28","0","24","76555","JP-46"
"2021-04-13","1926","74","1848","28","0","24","76814","JP-46"
"2021-04-14","1930","69","1857","28","0","24","77039","JP-46"
"2021-04-15","1943","65","1865","28","0","15","77280","JP-46"
"2021-04-16","1946","74","1869","28","1","25","77595","JP-46"
"2021-04-17","1946","74","1869","28","1","25","77595","JP-46"
"2021-04-18","1964","67","1886","28","1","17","77595","JP-46"
"2021-04-19","1970","71","1893","28","1","22","78467","JP-46"
"2021-04-20","1983","71","1899","28","0","15","78865","JP-46"
"2021-04-21","1985","77","1906","28","0","26","79223","JP-46"
"2021-04-22","1992","75","1910","28","0","21","79584","JP-46"
"2021-04-23","2003","75","1917","28","0","17","79790","JP-46"
"2021-04-24","2010","82","1921","28","0","21","79790","JP-46"
"2021-04-25","2024","82","1928","28","0","14","79790","JP-46"
"2021-04-26","2037","91","1933","28","0","15","80588","JP-46"
"2021-04-27","2048","96","1941","28","0","17","80965","JP-46"
"2021-04-28","2062","96","1952","28","0","14","81229","JP-46"
"2021-04-29","2090","101","1961","28","0","0","81229","JP-46"
"2021-04-30","2123","121","1969","28","1","5","81722","JP-46"
"2021-05-01","2183","137","1986","28","1","32","81722","JP-46"
"2021-05-02","2225","184","1999","28","1","14","81722","JP-46"
"2021-05-03","2270","218","2007","28","2","17","81722","JP-46"
"2021-05-04","2311","254","2016","28","2","13","81722","JP-46"
"2021-05-05","2358","283","2028","28","2","19","81722","JP-46"
"2021-05-06","2403","312","2046","28","2","17","81722","JP-46"
"2021-05-07","2461","342","2061","28","2","30","81722","JP-46"
"2021-05-08","2512","385","2076","28","2","23","81722","JP-46"
"2021-05-09","2558","405","2107","28","2","18","81722","JP-46"
"2021-05-10","2597","417","2141","28","2","11","81722","JP-46"
"2021-05-11","2649","422","2175","28","1","24","88808","JP-46"
"2021-05-12","2710","436","2213","28","4","33","89488","JP-46"
"2021-05-13","2762","469","2241","28","2","24","90336","JP-46"
"2021-05-14","2808","479","2283","28","3","18","91183","JP-46"
"2021-05-15","2842","469","2339","28","2","6","92020","JP-46"
"2021-05-16","2871","471","2371","28","3","1","92459","JP-46"
"2021-05-17","2909","437","2434","28","2","10","92739","JP-46"
"2021-05-18","2946","432","2477","28","3","9","93644","JP-46"
"2021-05-19","2986","427","2519","28","3","12","93644","JP-46"
"2021-05-20","3025","410","2576","28","3","11","95056","JP-46"
"2021-05-21","3072","401","2624","28","2","19","95672","JP-46"
"2021-05-22","3108","404","2668","28","1","8","96234","JP-46"
"2021-05-23","3131","396","2712","28","1","5","96915","JP-46"
"2021-05-24","3150","381","2750","29","3","10","97308","JP-46"
"2021-05-25","3177","352","2798","29","2","2","98108","JP-46"
"2021-05-26","3203","347","2830","30","2","4","98980","JP-46"
"2021-05-27","3229","334","2869","30","2","4","99540","JP-46"
"2021-05-28","3256","313","2916","30","3","3","100112","JP-46"
"2021-05-29","3285","302","2954","30","3","1","100664","JP-46"
"2021-05-30","3316","291","2994","30","3","1","101034","JP-46"
"2021-05-31","3327","292","3024","30","3","19","101223","JP-46"
"2021-06-01","3352","258","3069","30","2","5","101801","JP-46"
"2021-06-02","3384","254","3098","30","2","2","102319","JP-46"
"2021-06-03","3409","256","3128","30","3","5","102894","JP-46"
"2021-06-04","3435","257","3152","30","3","4","103647","JP-46"
"2021-06-05","3482","249","3186","30","3","17","103647","JP-46"
"2021-06-06","3497","273","3209","31","3","16","105045","JP-46"
"2021-06-07","3505","269","3228","31","3","23","105306","JP-46"
"2021-06-08","3518","240","3265","32","2","19","105703","JP-46"
"2021-06-09","3535","230","3288","32","2","15","106145","JP-46"
"2021-06-10","3546","222","3313","33","2","22","106607","JP-46"
"2021-06-11","3554","206","3340","33","2","25","106924","JP-46"
"2021-06-12","3569","190","3364","33","2","18","107325","JP-46"
"2021-06-13","3584","179","3390","33","2","18","107325","JP-46"
"2021-06-15","3605","171","3423","33","2","22","107819","JP-46"
"2021-06-16","3618","162","3443","33","2","20","108533","JP-46"
"2021-06-17","3621","152","3466","33","2","30","108760","JP-46"
"2021-06-18","3630","135","3486","33","2","24","108991","JP-46"
