"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","4","2","2","0",,,,
"2020-03-19","4","2","2","0",,,,
"2020-03-20","4","2","2","0",,,,
"2020-03-21","4","2","2","0",,,,
"2020-03-22","5","3","2","0",,,,
"2020-03-23","5","2","3","0",,,,
"2020-03-24","5","2","3","0",,,,
"2020-03-25","5","2","3","0",,,,
"2020-03-26","5","2","3","0",,,,
"2020-03-27","5","2","3","0",,,,
"2020-03-28","11","3","8","0",,,,
"2020-03-29","11","3","8","0",,,,
"2020-03-30","11","3","8","0",,,,
"2020-03-31","11","3","8","0",,,,
"2020-04-01","15","7","8","0",,,,
"2020-04-02","19","11","8","0",,,,
"2020-04-03","21","13","8","0",,,,
"2020-04-04","24","16","8","0",,,,
"2020-04-05","25","17","8","0",,,,
"2020-04-06","26","18","8","0",,,,
"2020-04-07","28","20","8","0",,,,
"2020-04-08","30","22","8","0",,,,
"2020-04-09","34","26","8","0",,,,
"2020-04-10","37","29","8","0",,,,
"2020-04-11","39","31","8","0",,,,
"2020-04-12","41","33","8","0",,,,
"2020-04-13","44","36","8","0",,,,
"2020-04-14","47","39","8","0",,,,
"2020-04-15","53","43","9","1",,,,
"2020-04-16","54","44","9","1",,,,
"2020-04-17","56","43","12","1",,,,
"2020-04-18","60","47","12","1",,,,
"2020-04-19","62","47","14","1",,,,
"2020-04-20","64","49","14","1",,,,
"2020-04-21","73","58","14","1",,,,
"2020-04-22","75","60","14","1",,,,
"2020-04-23","76","61","14","1",,,,
"2020-04-24","76","61","14","1",,,,
"2020-04-25","76","61","14","1",,,,
"2020-04-26","76","61","14","1",,,,
"2020-04-27","78","63","14","1",,,,
"2020-04-28","80","65","14","1",,,,
"2020-04-29","82","67","14","1",,,,
"2020-04-30","82","67","14","1",,,,
"2020-05-01","85","70","14","1",,,,
"2020-05-02","86","47","38","1",,,,
"2020-05-03","87","48","38","1",,,,
"2020-05-04","87","47","38","2",,,,
"2020-05-05","88","48","38","2",,,,
"2020-05-06","88","48","38","2",,,,
"2020-05-07","89","35","52","2",,,,
"2020-05-08","89","25","62","2","不明","0","2035",
"2020-05-09","90","22","66","2","-","0","2035",
"2020-05-10","90","21","67","2","-","0","2035",
"2020-05-11","90","21","67","2","-","0","2035",
"2020-05-12","90","20","68","2","0","0","2035",
"2020-05-13","90","18","70","2","0","0","2383",
"2020-05-14","90","14","74","2","0","0","2383",
"2020-05-15","90","12","76","2","0","0","2383",
"2020-05-16","90","11","77","2","0","0","2383",
"2020-05-17","90","9","79","2","0","0","2383",
"2020-05-18","90","9","79","2","0","0","2383",
"2020-05-19","90","7","81","2","0","0","2383",
"2020-05-20","91","8","81","2","1","0","2754",
"2020-05-21","91","7","82","2","1","0","2754",
"2020-05-22","91","7","82","2","0","0","2754",
"2020-05-23","91","7","82","2","0","0","2754",
"2020-05-24","91","7","82","2","0","0","2754",
"2020-05-25","91","7","82","2","0","0","2754",
"2020-05-26","91","5","84","2","0","0","2754",
"2020-05-27","92","6","84","2","0","0","2545",
"2020-05-28","92","5","85","2","0","0","2545",
"2020-05-29","92","4","86","2","0","0","2545",
"2020-05-30","92","2","88","2","0","0","2545",
"2020-05-31","92","2","88","2","0","0","2545",
"2020-06-01","92","2","88","2","0","0","2545",
"2020-06-02","92","2","88","2","0","0","2545",
"2020-06-03","92","1","89","2","0","0","2898",
"2020-06-04","92","1","89","2","0","0","2898",
"2020-06-05","92","1","89","2","0","0","2898",
"2020-06-06","92","1","89","2","0","0","2898",
"2020-06-07","92","1","89","2","0","0","2898",
"2020-06-08","92","1","89","2","0","0","2898",
"2020-06-09","92","1","89","2","0","0","2898",
"2020-06-10","92","1","89","2","0","0","3240",
"2020-06-11","92","1","89","2","0","0","3240",
"2020-06-12","92","1","89","2","0","0","3240",
"2020-06-13","92","0","90","2","0","0","3240",
"2020-06-14","92","0","90","2","0","0","3240",
"2020-06-15","92","0","90","2","0","0","3240",
"2020-06-16","92","0","90","2","0","0","3240",
"2020-06-17","92","0","90","2","0","0","3491",
"2020-06-18","92","0","90","2","0","0","3491",
"2020-06-19","92","0","90","2","0","0","3491",
"2020-06-20","92","0","90","2","0","0","3491",
"2020-06-21","92","0","90","2","0","0","3491",
"2020-06-22","92","0","90","2","0","0","3491",
"2020-06-23","92","0","90","2","0","0","3491",
"2020-06-24","92","0","90","2","0","0","3760",
"2020-06-25","92","0","90","2","0","0","3760",
"2020-06-26","92","0","90","2","0","0","3760",
"2020-06-27","92","0","90","2","0","0","3760",
"2020-06-28","92","0","90","2","0","0","3760",
"2020-06-29","92","0","90","2","0","0","3760",
"2020-06-30","92","0","90","2","0","0","3760",
"2020-07-01","92","0","90","2","0","0","3943",
"2020-07-02","92","0","90","2","0","0","3943",
"2020-07-03","92","0","90","2","0","0","3943",
"2020-07-04","93","1","90","2","0","0","3943",
"2020-07-05","95","3","90","2","0","0","3943",
"2020-07-06","96","4","90","2","0","0","3943",
"2020-07-07","98","6","90","2","0","0","3943",
"2020-07-08","100","8","90","2","0","0","4383",
"2020-07-09","102","10","90","2","0","0","4383",
"2020-07-10","107","15","90","2","0","0","4383",
"2020-07-11","114","22","90","2","0","0","4383",
"2020-07-12","119","27","90","2","0","0","4383",
"2020-07-13","123","30","91","2","0","0","4383",
"2020-07-14","126","33","91","2","0","0","4383",
"2020-07-15","131","37","92","2","0","0","5045",
"2020-07-16","138","38","98","2","0","0","5045",
"2020-07-17","143","41","100","2","0","0","5045",
"2020-07-18","151","46","103","2","0","0","5045",
"2020-07-19","154","49","103","2","0","0","5045",
"2020-07-20","156","49","105","2","0","0","5045",
"2020-07-21","163","47","114","2","1","0","5045",
"2020-07-22","171","47","122","2","1","0","7978",
"2020-07-23","184","58","124","2","1","0","7978",
"2020-07-24","195","67","126","2","1","0","7978",
"2020-07-25","200","72","126","2","1","0","7978",
"2020-07-26","205","69","134","2","1","0","7978",
"2020-07-27","209","71","136","2","2","0","7978",
"2020-07-28","215","67","146","2","2","0","7978",
"2020-07-29","221","66","153","2","1","0","8733",
"2020-07-30","228","66","160","2","1","0","8733",
"2020-07-31","235","55","178","2","0","0","8733",
"2020-08-01","256","75","179","2","0","0","8733",
"2020-08-02","264","81","181","2","0","0","8733",
"2020-08-03","272","82","188","2","1","0","8733",
"2020-08-04","277","76","199","2","1","0","8733",
"2020-08-05","286","73","211","2","1","0","9920",
"2020-08-06","293","76","215","2","1","0","9920",
"2020-08-07","302","77","223","2","1","0","9920",
"2020-08-08","318","82","234","2","1","0","9920",
"2020-08-09","330","93","235","2","1","0","15767",
"2020-08-10","336","97","237","2","1","0","15767",
"2020-08-11","339","99","238","2","1","0","15767",
"2020-08-12","341","79","260","2","1","0","11572",
"2020-08-13","351","64","284","3","1","0","11572",
"2020-08-14","364","70","291","3","1","0","11572",
"2020-08-15","369","71","295","3","1","0","11572",
"2020-08-16","394","96","295","3","1","0","11572",
"2020-08-17","403","102","298","3","3","0","11572",
"2020-08-18","440","122","315","3","3","0","11572",
"2020-08-19","450","122","325","3","3","0","12714",
"2020-08-20","462","128","331","3","2","0","12714",
"2020-08-21","472","135","334","3","2","0","12714",
"2020-08-22","482","137","342","3","2","0","12714",
"2020-08-23","490","144","343","3","2","0","12714",
"2020-08-24","492","130","359","3","2","0","12714",
"2020-08-25","498","117","378","3","2","0","12714",
"2020-08-26","502","108","389","5","2","0","12972",
"2020-08-27","506","98","403","5","2","0","12972",
"2020-08-28","508","71","432","5","3","0","12972",
"2020-08-29","510","63","442","5","3","0","12972",
"2020-08-30","515","61","449","5","3","0","12972",
"2020-08-31","518","57","455","6","3","0","12972",
"2020-09-01","523","44","473","6","3","0","12972",
"2020-09-02","524","39","478","7","4","0","12990",
"2020-09-03","526","38","481","7","4","0","15262",
"2020-09-04","531","41","482","8","3","0","15262",
"2020-09-05","534","43","483","8","3","0","15262",
"2020-09-06","538","43","487","8","3","0","15262",
"2020-09-07","538","41","489","8","3","0","15262",
"2020-09-08","539","36","495","8","2","0","15262",
"2020-09-09","540","35","497","8","2","0","17993",
"2020-09-10","542","29","505","8","2","0","18123",
"2020-09-11","544","29","507","8","2","0","18233",
"2020-09-12","545","28","509","8","2","0","18233",
"2020-09-13","545","28","509","8","2","0","18233",
"2020-09-14","546","24","513","9","1","0","18481",
"2020-09-15","550","21","520","9","1","0","18672",
"2020-09-16","550","19","522","9","1","0","18813",
"2020-09-17","551","19","523","9","1","0","18962",
"2020-09-18","551","15","527","9","1","0","19076",
"2020-09-19","552","16","527","9","1","0","19076",
"2020-09-20","554","16","529","9","1","0","19076",
"2020-09-21","555","17","529","9","1","0","19076",
"2020-09-22","556","18","529","9","1","0","19076",
"2020-09-23","558","18","531","9","0","0","19513",
"2020-09-24","558","13","536","9","0","0","19714",
"2020-09-25","560","13","538","9","0","0","19870",
"2020-09-26","562","15","538","9","0","0","19870",
"2020-09-27","562","14","539","9","0","0","19870",
"2020-09-28","567","17","541","9","0","0","20290",
"2020-09-29","568","18","541","9","0","0","20292",
"2020-09-30","569","15","545","9","0","0","20591",
"2020-10-01","574","17","548","9","0","0","20737",
"2020-10-02","575","17","549","9","0","0","20885",
"2020-10-03","580","22","549","9","0","0","20885",
"2020-10-04","581","22","550","9","0","0","20885",
"2020-10-05","581","22","550","9","0","0","21281",
"2020-10-06","581","19","553","9","0","0","21517",
"2020-10-07","583","18","556","9","0","0","21662",
"2020-10-08","587","20","558","9","0","0","21824",
"2020-10-09","595","27","559","9","0","0","21963",
"2020-10-10","595","26","560","9","0","0","21963",
"2020-10-11","599","27","563","9","0","0","21963",
"2020-10-12","600","26","565","9","1","0","22343",
"2020-10-13","603","26","568","9","1","0","22589",
"2020-10-14","605","27","569","9","1","0","22780",
"2020-10-15","607","27","571","9","2","0","22972",
"2020-10-16","610","29","572","9","2","0","23057",
"2020-10-17","613","30","574","9","2","0","23057",
"2020-10-18","613","28","576","9","2","0","23057",
"2020-10-19","613","23","581","9","2","0","23285",
"2020-10-20","615","20","586","9","2","0","23410",
"2020-10-21","618","21","588","9","2","0","23550",
"2020-10-22","621","23","589","9","2","0","23684",
"2020-10-23","624","26","589","9","2","0","23806",
"2020-10-24","625","24","592","9","2","0","23806",
"2020-10-25","625","23","593","9","2","0","23806",
"2020-10-26","626","19","598","9","2","0","24077",
"2020-10-27","626","15","602","9","1","0","24237",
"2020-10-28","631","18","604","9","1","0","24388",
"2020-10-29","635","19","607","9","1","0","24518",
"2020-10-30","639","22","607","10","0","0","24620",
"2020-10-31","648","29","607","10","0","2","24620",
"2020-11-01","659","40","609","10","0","0","24620",
"2020-11-02","664","43","611","10","0","0","24985",
"2020-11-03","675","51","614","10","0","0","24985",
"2020-11-04","679","54","615","10","0","0","25178",
"2020-11-05","694","66","618","10","0","0","25498",
"2020-11-06","713","81","622","10","0","0","25726",
"2020-11-07","726","93","623","10","0","0","25726",
"2020-11-08","737","98","628","11","0","0","25726",
"2020-11-09","745","98","636","11","0","0","26032",
"2020-11-10","754","103","640","11","0","0","26411",
"2020-11-11","771","108","652","11","1","0","26732",
"2020-11-12","788","117","660","11","1","0","27089",
"2020-11-13","812","135","666","11","1","0","27245",
"2020-11-14","835","152","672","11","2","0","27245",
"2020-11-15","844","151","682","11","3","0","27245",
"2020-11-16","858","156","691","11","3","0","28118",
"2020-11-17","868","139","718","11","3","0","28401",
"2020-11-18","896","154","731","11","3","0","28985",
"2020-11-19","929","177","741","11","4","0","29282",
"2020-11-20","952","183","758","11","4","0","29663",
"2020-11-21","975","193","771","11","4","0","29663",
"2020-11-22","989","200","778","11","4","0","29663",
"2020-11-23","1010","204","795","11","5","0","29663",
"2020-11-24","1026","202","813","11","4","0","30816",
"2020-11-25","1038","194","833","11","6","0","31252",
"2020-11-26","1061","189","861","11","6","0","31572",
"2020-11-27","1087","206","870","11","6","0","31912",
"2020-11-28","1106","197","898","11","6","0","31912",
"2020-11-29","1122","198","913","11","6","0","31912",
"2020-11-30","1141","197","932","12","5","0","32940",
"2020-12-01","1157","190","955","12","6","0","33415",
"2020-12-02","1190","204","973","13","6","0","33927",
"2020-12-03","1229","229","987","13","6","0","34463",
"2020-12-04","1264","243","1008","13","6","0","35104",
"2020-12-05","1291","254","1024","13","7","0","35104",
"2020-12-06","1306","261","1032","13","7","0","35104",
"2020-12-07","1330","269","1048","13","7","0","35844",
"2020-12-08","1351","260","1078","13","8","0","36543",
"2020-12-09","1386","249","1124","13","6","0","37171",
"2020-12-10","1410","255","1142","13","6","0","37665",
"2020-12-11","1433","237","1183","13","6","0","38382",
"2020-12-12","1465","242","1209","14","6","0","38382",
"2020-12-13","1493","259","1219","15","7","0","38382",
"2020-12-14","1512","259","1238","15","7","0","39412",
"2020-12-15","1530","256","1259","15","6","0","40263",
"2020-12-16","1554","229","1310","15","9","0","40843",
"2020-12-17","1577","227","1335","15","10","0","41214",
"2020-12-18","1600","222","1363","15","9","0","41712",
"2020-12-19","1628","232","1380","16","9","0","41712",
"2020-12-20","1654","244","1390","20","9","0","41712",
"2020-12-21","1686","267","1399","20","10","0","43109",
"2020-12-22","1712","254","1438","20","10","0","43905",
"2020-12-23","1749","279","1450","20","11","0","44508",
"2020-12-24","1782","295","1467","20","11","0","45756",
"2020-12-25","1812","304","1487","21","10","0","46358",
"2020-12-26","1843","315","1507","21","11","0","46358",
"2020-12-27","1882","345","1515","22","10","0","46358",
"2020-12-28","1912","335","1555","22","11","0","47698",
"2020-12-29","1936","336","1578","22","15","0","47698",
"2020-12-30","1966","340","1602","24","14","0","47698",
"2020-12-31","2005","361","1620","24","13","0","47698",
"2021-01-01","2041","371","1646","24","12","0","47698",
"2021-01-02","2077","379","1674","24","12","0","47698",
"2021-01-03","2108","387","1696","25","11","0","47698",
"2021-01-04","2130","345","1760","25","11","0","51105",
"2021-01-05","2160","357","1777","26","10","0","52055","JP-29"
"2021-01-06","2184","351","1807","26","10","0","52687","JP-29"
"2021-01-07","2211","344","1841","26","10","0","53187","JP-29"
"2021-01-08","2266","371","1869","26","10","0","53820","JP-29"
"2021-01-09","2311","380","1905","26","11","0","53820","JP-29"
"2021-01-10","2357","398","1933","26","11","0","53820","JP-29"
"2021-01-11","2388","401","1959","28","9","0","53820","JP-29"
"2021-01-12","2416","385","2001","30","9","0","55725","JP-29"
"2021-01-13","2451","378","2042","31","9","0","56489","JP-29"
"2021-01-14","2481","387","2063","31","10","0","57058","JP-29"
"2021-01-15","2525","393","2101","31","12","0","58339","JP-29"
"2021-01-16","2564","398","2135","31","12","0","58339","JP-29"
"2021-01-17","2602","398","2173","31","14","0","58339","JP-29"
"2021-01-18","2649","416","2202","31","14","0","59609","JP-29"
"2021-01-19","2674","379","2263","32","14","0","60477","JP-29"
"2021-01-20","2716","395","2289","32","14","0","61204","JP-29"
"2021-01-21","2757","402","2323","32","13","0","62725","JP-29"
"2021-01-22","2797","398","2367","32","14","0","63299","JP-29"
"2021-01-23","2833","399","2400","34","11","0","63299","JP-29"
"2021-01-26","2906","365","2505","36","9","0","65814","JP-29"
"2021-01-27","2932","326","2570","36","7","0","66519","JP-29"
"2021-01-28","2957","306","2615","36","6","0","67073","JP-29"
"2021-01-29","2988","311","2641","36","6","0","67562","JP-29"
"2021-01-30","3009","309","2663","37","7","0","67562","JP-29"
"2021-01-31","3034","308","2688","38","7","0","67562","JP-29"
"2021-02-01","3067","317","2711","39","6","0","68581","JP-29"
"2021-02-02","3087","295","2752","40","4","0","69966","JP-29"
"2021-02-03","3121","292","2789","40","5","0","70956","JP-29"
"2021-02-04","3148","280","2827","41","4","0","71540","JP-29"
"2021-02-05","3166","269","2855","42","5","0","72095","JP-29"
"2021-02-06","3185","265","2878","42","6","0","72095","JP-29"
"2021-02-07","3198","256","2900","42","7","0","72095","JP-29"
"2021-02-08","3208","240","2926","42","8","0","73364","JP-29"
"2021-02-09","3217","215","2960","42","8","0","74191","JP-29"
"2021-02-10","3233","203","2988","42","7","0","74734","JP-29"
"2021-02-11","3238","185","3011","42","6","0","74734","JP-29"
"2021-02-12","3242","163","3036","43","6","0","75362","JP-29"
"2021-02-13","3254","147","3064","43","5","0","75362","JP-29"
"2021-02-14","3268","149","3076","43","5","0","75362","JP-29"
