"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","0","0","0","0",,,,
"2020-03-19","0","0","0","0",,,,
"2020-03-20","0","0","0","0",,,,
"2020-03-21","0","0","0","0",,,,
"2020-03-22","0","0","0","0",,,,
"2020-03-23","0","0","0","0",,,,
"2020-03-24","0","0","0","0",,,,
"2020-03-25","1","1","0","0",,,,
"2020-03-26","1","1","0","0",,,,
"2020-03-27","1","1","0","0",,,,
"2020-03-28","2","2","0","0",,,,
"2020-03-29","2","2","0","0",,,,
"2020-03-30","2","2","0","0",,,,
"2020-03-31","2","1","1","0",,,,
"2020-04-01","5","4","1","0",,,,
"2020-04-02","5","4","1","0",,,,
"2020-04-03","7","5","2","0",,,,
"2020-04-04","8","6","2","0",,,,
"2020-04-05","9","7","2","0",,,,
"2020-04-06","9","7","2","0",,,,
"2020-04-07","9","7","2","0",,,,
"2020-04-08","12","10","2","0",,,,
"2020-04-09","14","12","2","0",,,,
"2020-04-10","14","12","2","0",,,,
"2020-04-11","14","12","2","0",,,,
"2020-04-12","14","12","2","0",,,,
"2020-04-13","14","12","2","0",,,,
"2020-04-14","14","12","2","0",,,,
"2020-04-15","15","13","2","0",,,,
"2020-04-16","16","14","2","0",,,,
"2020-04-17","17","15","2","0",,,,
"2020-04-18","17","15","2","0",,,,
"2020-04-19","17","15","2","0",,,,
"2020-04-20","17","13","4","0",,,,
"2020-04-21","17","12","5","0",,,,
"2020-04-22","16","11","5","0",,,,
"2020-04-23","16","10","5","1",,,,
"2020-04-24","16","9","6","1",,,,
"2020-04-25","16","9","6","1",,,,
"2020-04-26","16","9","6","1",,,,
"2020-04-27","16","7","8","1",,,,
"2020-04-28","16","6","9","1",,,,
"2020-04-29","17","7","9","1",,,,
"2020-04-30","17","7","9","1",,,,
"2020-05-01","17","7","9","1",,,,
"2020-05-02","17","7","9","1",,,,
"2020-05-03","17","6","10","1",,,,
"2020-05-04","17","6","10","1",,,,
"2020-05-05","17","6","10","1",,,,
"2020-05-06","17","6","10","1",,,,
"2020-05-07","17","6","10","1",,,,
"2020-05-08","17","2","14","1","0","0","2878",
"2020-05-09","17","2","14","1","0","0","2320",
"2020-05-10","17","2","14","1","0","0","2345",
"2020-05-11","17","2","14","1","0","0","2361",
"2020-05-12","17","2","14","1","0","0","2405",
"2020-05-13","17","1","15","1","0","0","2430",
"2020-05-14","17","1","15","1","0","0","2477",
"2020-05-15","17","1","15","1","0","0","2500",
"2020-05-16","17","1","15","1","0","0","2535",
"2020-05-17","17","1","15","1","0","0","2552",
"2020-05-18","17","0","16","1","0","0","2556",
"2020-05-19","17","0","16","1","0","0","2577",
"2020-05-20","17","0","16","1","0","0","2587",
"2020-05-21","17","0","16","1","0","0","2625",
"2020-05-22","17","0","16","1","0","0","2645",
"2020-05-23","17","0","16","1","0","0","2655",
"2020-05-24","17","0","16","1","0","0","2655",
"2020-05-25","17","0","16","1","0","0","2675",
"2020-05-26","17","0","16","1","0","0","2684",
"2020-05-27","17","0","16","1","0","0","2699",
"2020-05-28","17","0","16","1","0","0","2715",
"2020-05-29","17","0","16","1","0","0","2736",
"2020-05-30","17","0","16","1","0","0","2754",
"2020-05-31","17","0","16","1","0","0","2754",
"2020-06-01","17","0","16","1","0","0","2770",
"2020-06-02","17","0","16","1","0","0","2798",
"2020-06-03","17","0","16","1","0","0","2814",
"2020-06-04","17","0","16","1","0","0","2844",
"2020-06-05","17","0","16","1","0","0","2883",
"2020-06-06","17","0","16","1","0","0","2883",
"2020-06-07","17","0","16","1","0","0","2920",
"2020-06-08","17","0","16","1","0","0","2925",
"2020-06-09","17","0","16","1","0","0","2956",
"2020-06-10","17","0","16","1","0","0","2972",
"2020-06-11","17","0","16","1","0","0","2993",
"2020-06-12","17","0","16","1","0","0","3006",
"2020-06-13","17","0","16","1","0","0","3019",
"2020-06-14","17","0","16","1","0","0","3019",
"2020-06-15","17","0","16","1","0","0","3034",
"2020-06-16","17","0","16","1","0","0","3044",
"2020-06-17","17","0","16","1","0","0","3052",
"2020-06-18","17","0","16","1","0","0","3074",
"2020-06-19","17","0","16","1","0","0","3093",
"2020-06-20","17","0","16","1","0","0","3104",
"2020-06-21","17","0","16","1","0","0","3110",
"2020-06-22","17","0","16","1","0","0","3110",
"2020-06-23","17","0","16","1","0","0","3136",
"2020-06-24","17","0","16","1","0","0","3152",
"2020-06-25","17","0","16","1","0","0","3165",
"2020-06-26","17","0","16","1","0","0","3177",
"2020-06-27","17","0","16","1","0","0","3177",
"2020-06-28","17","0","16","1","0","0","3198",
"2020-06-29","17","0","16","1","0","0","3199",
"2020-06-30","17","0","16","1","0","0","3236",
"2020-07-01","17","0","16","1","0","0","3265",
"2020-07-02","17","0","16","1","0","0","3294",
"2020-07-03","17","0","16","1","0","0","3324",
"2020-07-04","17","0","16","1","0","0","3343",
"2020-07-05","17","0","16","1","0","0","3366",
"2020-07-06","18","1","16","1","0","0","3367",
"2020-07-07","18","1","16","1","0","0","3489",
"2020-07-08","18","1","16","1","0","0","3544",
"2020-07-09","19","2","16","1","0","0","3645",
"2020-07-10","19","2","16","1","0","0","3725",
"2020-07-11","19","2","16","1","0","0","3806",
"2020-07-12","19","2","16","1","0","0","3878",
"2020-07-13","26","9","16","1","0","0","4071",
"2020-07-14","30","12","16","1","0","1","4151",
"2020-07-15","31","14","16","1","0","0","4277",
"2020-07-16","32","15","16","1","0","0","4424",
"2020-07-17","32","15","16","1","0","0","4519",
"2020-07-18","32","15","16","1","0","0","4692",
"2020-07-19","40","23","16","1","-","0","4753",
"2020-07-20","40","23","16","1","-","0","4789",
"2020-07-21","44","27","16","1","-","0","5020",
"2020-07-22","47","30","16","1","-","0","5241",
"2020-07-23","47","30","16","1","-","0","5522",
"2020-07-24","47","30","16","1","-","0","5599",
"2020-07-25","47","29","16","2","-","0","5671",
"2020-07-26","52","28","22","2","-","0","5764",
"2020-07-27","53","29","22","2","-","0","5857",
"2020-07-28","59","35","22","2","-","0","6089",
"2020-07-29","61","32","27","2","-","0","6270",
"2020-07-30","66","37","27","2","-","0","6544",
"2020-07-31","74","45","27","2","-","0","6830",
"2020-08-01","89","55","32","2","-","0","6830",
"2020-08-02","112","78","32","2","-","0","7268",
"2020-08-03","117","83","32","2","-","0","7539",
"2020-08-04","135","101","32","2","-","0","7668",
"2020-08-05","140","106","32","2","-","0","8143",
"2020-08-06","144","110","32","2","-","0","8429",
"2020-08-07","149","115","32","2","-","0","8801",
"2020-08-08","159","120","36","3","-","0","9187",
"2020-08-09","166","39","36","3","-","88","9339",
"2020-08-10","167","43","36","3","-","85","9447",
"2020-08-11","170","37","36","3","-","94","9649",
"2020-08-12","170","34","36","3","-","97","9897",
"2020-08-13","173","33","36","3","-","101","10173",
"2020-08-14","178","32","36","3","-","107","10410",
"2020-08-15","184","37","36","3","-","108","10571",
"2020-08-16","185","37","36","3","-","109","10708",
"2020-08-17","185","38","36","3","-","108","10783",
"2020-08-18","189","31","36","3","-","119","11135",
"2020-08-19","189","26","36","3","-","124","11381",
"2020-08-20","191","25","36","3","-","127","11720",
"2020-08-21","192","25","36","3","-","128","12052",
"2020-08-22","193","26","36","3","-","128","12264",
"2020-08-23","201","28","36","3","-","134","12347",
"2020-08-24","204","29","36","3","-","136","12602",
"2020-08-25","205","29","36","3","-","137","12961",
"2020-08-26","205","22","36","3","1","144","13119",
"2020-08-27","219","25","36","3","1","155","13500",
"2020-08-28","224","23","180","3","1","18","13819",
"2020-08-29","229","23","180","3","1","23","14101",
"2020-08-30","230","27","180","3","1","20","14346",
"2020-08-31","231","24","184","3","1","20","14507",
"2020-09-01","232","22","185","3","1","22","14766",
"2020-09-02","232","22","186","3","1","21","14973",
"2020-09-03","234","16","200","3","0","15","15149",
"2020-09-04","234","24","201","3","0","6","15279",
"2020-09-05","234","23","201","3","0","7","15430",
"2020-09-06","234","21","201","3","0","9","15430",
"2020-09-07","234","19","206","3","0","6","15530",
"2020-09-08","234","19","208","3","0","4","15654",
"2020-09-09","234","18","214","3","0","1","15876",
"2020-09-10","234","13","217","3","0","1","16081",
"2020-09-11","234","9","219","3","0","3","16260",
"2020-09-12","235","8","219","3","0","5","16363",
"2020-09-13","235","8","219","3","0","5","16363",
"2020-09-14","236","8","224","3","0","1","16492",
"2020-09-15","236","8","225","3","0","0","16671",
"2020-09-16","236","8","226","3","0","1","16811",
"2020-09-17","236","7","226","3","0","0","16972",
"2020-09-18","236","6","227","3","0","0","16972",
"2020-09-19","236","3","227","3","0","3","17210",
"2020-09-20","236","3","227","3","0","3","17268",
"2020-09-21","236","3","227","3","0","3","17290",
"2020-09-22","236","3","227","3","0","3","17306",
"2020-09-23","236","3","230","3","0","0","17442",
"2020-09-24","236","3","230","3","0","0","17663",
"2020-09-25","236","3","230","3","0","0","17828",
"2020-09-26","236","3","230","3","0","0","17938",
"2020-09-27","236","2","230","3","0","1","18015",
"2020-09-28","236","2","231","3","0","0","18085",
"2020-09-29","236","2","231","3","0","0","18248",
"2020-09-30","236","1","231","3","0","1","18408",
"2020-10-01","236","3","232","3","0","2","18531",
"2020-10-02","238","1","232","3","0","2","18768",
"2020-10-03","238","1","232","3","0","2","18873",
"2020-10-04","238","1","232","3","0","2","18928",
"2020-10-05","238","1","233","3","0","1","18993",
"2020-10-06","238","1","233","3","0","1","19226",
"2020-10-07","238","1","233","3","0","1","19379",
"2020-10-08","238","1","233","3","0","1","19543",
"2020-10-09","239","3","233","3","0","0","19716",
"2020-10-10","239","4","233","3","0","1","19842",
"2020-10-11","239","3","233","3","0","0","19903",
"2020-10-12","241","3","233","3","0","2","19974",
"2020-10-13","241","3","233","3","0","2","20210",
"2020-10-14","241","3","233","3","0","2","20360",
"2020-10-15","241","2","234","3","0","2","20496",
"2020-10-16","241","2","235","3","0","1","20608",
"2020-10-17","241","3","235","3","0","0","20708",
"2020-10-18","241","3","235","3","0","0","20757",
"2020-10-19","242","3","235","3","0","1","20834",
"2020-10-20","242","3","236","3","0","0","20984",
"2020-10-21","242","0","236","3","0","3","21126",
"2020-10-22","242","0","236","3","0","3","21285",
"2020-10-23","242","0","237","3","0","2","21431",
"2020-10-24","242","2","237","3","0","0","21532",
"2020-10-25","242","2","237","3","0","0","21632",
"2020-10-26","244","2","239","3","0","0","21684",
"2020-10-27","244","2","239","3","0","0","21887",
"2020-10-28","244","2","239","3","0","0","22048",
"2020-10-29","244","2","239","3","0","0","22202",
"2020-10-30","244","1","240","3","0","0","22311",
"2020-10-31","244","1","240","3","0","0","22417",
"2020-11-01","244","1","240","3","0","0","22457",
"2020-11-02","244","0","241","3","0","0","22786",
"2020-11-03","244","0","241","3","0","0","22968",
"2020-11-04","245","0","241","3","0","1","23010",
"2020-11-05","245","0","241","3","0","1","23180",
"2020-11-06","246","4","241","3","0","2","23361",
"2020-11-07","246","4","241","3","0","2","23522",
"2020-11-08","246","4","241","3","0","2","23574",
"2020-11-09","249","4","241","3","0","1","23623",
"2020-11-10","249","4","241","3","0","1","23873",
"2020-11-11","249","4","241","3","0","1","24030",
"2020-11-12","249","4","242","3","0","0","24224",
"2020-11-13","249","3","242","3","0","1","24364",
"2020-11-14","249","3","242","3","0","1","24525",
"2020-11-15","249","3","242","3","0","1","24603",
"2020-11-16","251","5","242","3","0","1","24657",
"2020-11-17","251","5","243","3","0","0","24833",
"2020-11-18","252","6","243","3","0","0","25087",
"2020-11-19","253","6","243","3","0","1","25328",
"2020-11-20","254","8","243","3","0","0","25507",
"2020-11-21","254","11","243","3","0","3","25667",
"2020-11-22","254","13","243","3","0","5","25747",
"2020-11-23","254","14","243","3","0","6","25798",
"2020-11-24","262","14","245","3","0","0","25842",
"2020-11-25","263","14","245","3","0","1","26087",
"2020-11-26","265","15","246","3","0","1","26332",
"2020-11-27","265","17","247","3","0","2","26604",
"2020-11-28","265","18","247","3","0","3","26776",
"2020-11-29","265","19","247","3","0","4","26884",
"2020-11-30","271","20","249","3","0","1","26979",
"2020-12-01","271","19","253","3","0","4","27249",
"2020-12-02","273","17","253","3","0","0","27465",
"2020-12-03","273","17","255","3","0","2","27725",
"2020-12-04","273","16","257","3","0","3","27929",
"2020-12-05","273","14","257","3","0","1","28117",
"2020-12-06","273","16","257","3","0","3","28194",
"2020-12-07","276","16","260","3","0","3","28287",
"2020-12-08","276","11","264","3","0","2","28610",
"2020-12-09","277","9","265","3","0","0","28830",
"2020-12-10","278","11","265","3","0","1","29063",
"2020-12-11","290","21","265","3","0","1","29313",
"2020-12-12","290","25","265","3","0","3","29630",
"2020-12-13","290","32","265","3","0","10","29884",
"2020-12-14","321","43","268","3","0","7","30156",
"2020-12-15","328","56","272","3","2","3","30645",
"2020-12-16","338","56","273","3","2","6","31230",
"2020-12-17","345","61","276","3","2","5","31700",
"2020-12-18","352","65","277","3","2","7","31987",
"2020-12-19","352","70","277","3","2","2","32305",
"2020-12-20","352","79","277","3","2","7","33005",
"2020-12-21","400","89","288","3","2","20","34299",
"2020-12-22","419","110","289","3","2","17","35060",
"2020-12-23","445","124","295","3","2","23","35880",
"2020-12-24","457","132","295","3","2","27","36313",
"2020-12-25","457","155","298","3","2","1","37041",
"2020-12-26","457","168","298","3","2","12","37590",
"2020-12-27","457","175","298","3","2","19","37729",
"2020-12-28","457","193","311","3","2","50","38000",
"2020-12-29","611","201","311","3","2","96","38585",
"2020-12-30","611","205","311","4","2","91","38857",
"2020-12-31","611","217","311","4","2","79","39155",
"2021-01-01","611","225","311","4","2","71","39538",
"2021-01-02","703","226","311","4","2","162","39921",
"2021-01-03","703","234","311","5","2","153","40149",
"2021-01-04","703","233","444","5","9","21","40578",
"2021-01-05","757","241","467","5","9","44","41316","JP-42"
"2021-01-06","812","249","488","6","9","69","42170","JP-42"
"2021-01-07","855","259","500","7","10","89","43052","JP-42"
"2021-01-08","855","256","517","7","10","75","44000","JP-42"
"2021-01-09","855","267","517","7","10","64","44502","JP-42"
"2021-01-10","1016","277","517","8","10","214","44929","JP-42"
"2021-01-11","1016","269","517","8","10","222","45149","JP-42"
"2021-01-12","1056","272","628","8","9","148","45608","JP-42"
"2021-01-13","1080","278","639","10","7","153","46310","JP-42"
"2021-01-14","1118","290","662","12","5","154","47030","JP-42"
"2021-01-15","1157","290","692","12","6","163","47964","JP-42"
"2021-01-16","1157","283","692","13","6","169","48697","JP-42"
"2021-01-17","1157","292","692","14","6","159","48964","JP-42"
"2021-01-18","1246","270","843","16","6","117","49331","JP-42"
"2021-01-19","1263","265","879","17","6","102","49959","JP-42"
"2021-01-20","1302","261","920","18","5","103","50819","JP-42"
"2021-01-21","1334","265","937","18","5","114","51536","JP-42"
"2021-01-22","1359","385","981","18","2","25","52286","JP-42"
"2021-01-23","1359","381","981","18","2","21","52644","JP-42"
"2021-01-26","1419","298","1116","21","1","16","53978","JP-42"
"2021-01-27","1435","268","1155","23","1","11","54579","JP-42"
"2021-01-28","1446","287","1162","25","1","28","55149","JP-42"
"2021-01-29","1474","268","1199","25","2","18","55861","JP-42"
"2021-01-30","1474","273","1199","26","2","24","56522","JP-42"
"2021-01-31","1474","247","1199","27","2","1","56979","JP-42"
"2021-02-01","1526","240","1262","28","3","4","57116","JP-42"
"2021-02-02","1530","235","1271","31","3","7","57572","JP-42"
"2021-02-03","1537","222","1286","32","3","3","58238","JP-42"
"2021-02-04","1540","219","1292","32","3","3","58931","JP-42"
"2021-02-05","1543","217","1302","33","3","9","59516","JP-42"
"2021-02-06","1543","210","1302","35","3","4","60154","JP-42"
"2021-02-07","1543","193","1302","35","3","13","60465","JP-42"
"2021-02-08","1563","187","1343","35","3","2","60530","JP-42"
"2021-02-09","1565","169","1365","35","3","4","61489","JP-42"
"2021-02-10","1569","154","1387","35","2","7","61891","JP-42"
"2021-02-11","1569","135","1387","35","2","12","62247","JP-42"
"2021-02-12","1580","135","1412","35","2","2","62534","JP-42"
"2021-02-13","1580","134","1412","35","2","1","62926","JP-42"
"2021-02-14","1580","101","1412","35","2","32","63103","JP-42"
"2021-02-15","1585","99","1450","36","3","0","63185","JP-42"
"2021-02-16","1585","90","1460","36","3","1","63696","JP-42"
"2021-02-17","1586","83","1469","36","3","2","64165","JP-42"
"2021-02-18","1588","68","1486","36","3","2","64616","JP-42"
"2021-02-19","1590","49","1508","36","1","3","64938","JP-42"
"2021-02-20","1590","42","1508","36","1","4","65199","JP-42"
"2021-02-21","1590","45","1508","36","1","1","65467","JP-42"
"2021-02-22","1605","43","1526","36","1","0","65672","JP-42"
"2021-02-23","1608","40","1526","36","1","6","66043","JP-42"
"2021-02-24","1609","38","1535","36","1","0","66146","JP-42"
"2021-02-25","1609","37","1536","36","1","0","66646","JP-42"
"2021-02-26","1609","36","1537","36","1","0","66997","JP-42"
"2021-02-27","1610","35","1539","36","1","0","67208","JP-42"
"2021-02-28","1612","36","1540","36","1","0","67315","JP-42"
"2021-03-01","1612","35","1541","36","1","0","67422","JP-42"
"2021-03-02","1612","33","1543","36","1","0","67874","JP-42"
"2021-03-03","1612","29","1546","37","1","0","68222","JP-42"
"2021-03-04","1612","18","1557","37","0","0","68588","JP-42"
"2021-03-05","1612","13","1562","37","0","0","69022","JP-42"
"2021-03-06","1612","11","1564","37","0","0","69383","JP-42"
"2021-03-07","1612","9","1566","37","0","0","69461","JP-42"
"2021-03-08","1612","7","1568","37","0","0","69566","JP-42"
"2021-03-09","1613","6","1570","37","0","0","70044","JP-42"
"2021-03-10","1613","4","1572","37","0","0","70498","JP-42"
"2021-03-11","1613","3","1573","37","0","0","70910","JP-42"
"2021-03-12","1613","3","1573","37","0","0","71181","JP-42"
"2021-03-13","1613","3","1573","37","0","0","71412","JP-42"
"2021-03-14","1613","3","1573","37","0","0","71586","JP-42"
"2021-03-15","1613","3","1573","37","0","0","71682","JP-42"
"2021-03-16","1614","2","1574","38","0","0","72105","JP-42"
"2021-03-17","1614","1","1575","38","0","0","72492","JP-42"
"2021-03-18","1614","0","1576","38","0","0","72913","JP-42"
