"date","npatients","ncurrentpatients","nexits","ndeaths","nheavycurrentpatients","nunknowns","ninspections","ISO3155-2"
"2020-03-18","123","106","3","14",,,,
"2020-03-19","127","110","3","14",,,,
"2020-03-20","130","111","3","16",,,,
"2020-03-21","132","108","8","16",,,,
"2020-03-22","134","111","8","16",,,,
"2020-03-23","136","112","8","17",,,,
"2020-03-24","139","114","9","17",,,,
"2020-03-25","144","91","36","18",,,,
"2020-03-26","147","93","36","19",,,,
"2020-03-27","150","90","42","18",,,,
"2020-03-28","164","103","42","19",,,,
"2020-03-29","167","106","42","19",,,,
"2020-03-30","170","109","42","19",,,,
"2020-03-31","176","110","47","19",,,,
"2020-04-01","181","115","47","19",,,,
"2020-04-02","186","120","47","19",,,,
"2020-04-03","198","131","48","19",,,,
"2020-04-04","216","149","48","19",,,,
"2020-04-05","227","159","48","20",,,,
"2020-04-06","237","164","52","21",,,,
"2020-04-07","258","185","52","21",,,,
"2020-04-08","278","205","52","21",,,,
"2020-04-09","299","225","53","21",,,,
"2020-04-10","313","228","63","22",,,,
"2020-04-11","340","255","63","22",,,,
"2020-04-12","319","234","63","22",,,,
"2020-04-13","328","242","63","23",,,,
"2020-04-14","338","251","63","24",,,,
"2020-04-15","350","260","66","24",,,,
"2020-04-16","364","274","66","24",,,,
"2020-04-17","374","284","66","24",,,,
"2020-04-18","391","301","66","24",,,,
"2020-04-19","401","310","66","25",,,,
"2020-04-20","406","313","66","27",,,,
"2020-04-21","422","329","66","27",,,,
"2020-04-22","441","345","67","29",,,,
"2020-04-23","453","357","67","29",,,,
"2020-04-24","474","378","66","30",,,,
"2020-04-25","475","379","66","30",,,,
"2020-04-26","476","380","66","30",,,,
"2020-04-27","477","381","66","30",,,,
"2020-04-28","482","385","66","31",,,,
"2020-04-29","486","388","67","31",,,,
"2020-04-30","488","381","75","32",,,,
"2020-05-01","491","384","75","32",,,,
"2020-05-02","491","383","75","33",,,,
"2020-05-03","492","383","75","34",,,,
"2020-05-04","495","386","75","34",,,,
"2020-05-05","498","389","75","34",,,,
"2020-05-06","498","364","99","35",,,,
"2020-05-07","498","140","324","34",,,,
"2020-05-08","491","129","328","34","5","3","7958",
"2020-05-09","491","118","339","34","5","3","8027",
"2020-05-10","494","110","350","34","-","3","8133",
"2020-05-11","494","108","352","34","5","3","8437",
"2020-05-12","495","92","369","34","4","0","8492",
"2020-05-13","496","85","377","34","4","0","8492",
"2020-05-14","501","79","388","34","4","4","8773",
"2020-05-15","503","79","390","34","4","5","8773",
"2020-05-16","503","69","400","34","2","4","8896",
"2020-05-17","504","66","404","34","2","3","8963",
"2020-05-18","506","59","413","34","2","5","9176",
"2020-05-19","506","49","423","34","2","5","9176",
"2020-05-20","506","44","428","34","0","5","9368",
"2020-05-21","506","41","431","34","0","5","9451",
"2020-05-22","506","35","437","34","0","5","9525",
"2020-05-23","506","30","442","34","0","5","9525",
"2020-05-24","506","30","442","34","0","4","9525",
"2020-05-25","507","31","442","34","0","5","9726",
"2020-05-26","507","29","444","34","0","5","9762",
"2020-05-27","507","23","450","34","0","5","9819",
"2020-05-28","507","15","453","34","0","5","9920",
"2020-05-29","507","15","453","34","0","5","9970",
"2020-05-30","507","15","455","34","0","3","9970",
"2020-05-31","507","13","456","34","0","4","9970",
"2020-06-01","508","12","457","34","0","5","10142",
"2020-06-02","508","12","457","34","0","5","10211",
"2020-06-03","509","12","458","34","0","5","10284",
"2020-06-04","509","10","460","34","0","5","10284",
"2020-06-05","509","8","462","34","0","5","10467",
"2020-06-06","509","8","463","34","0","4","10467",
"2020-06-07","509","8","463","34","0","4","10467",
"2020-06-08","511","9","463","34","0","5","10701",
"2020-06-09","511","7","465","34","0","5","10844",
"2020-06-10","511","7","465","34","0","5","10961",
"2020-06-11","513","9","465","34","0","5","11072",
"2020-06-12","513","8","466","34","0","5","11171",
"2020-06-13","513","9","467","34","0","3","11171",
"2020-06-14","513","10","467","34","0","2","11171",
"2020-06-15","516","10","467","34","0","5","11375",
"2020-06-16","516","9","468","34","0","5","11375",
"2020-06-17","518","8","470","34","0","6","11523",
"2020-06-18","521","11","470","34","0","6","11523",
"2020-06-19","521","10","471","34","0","6","11750",
"2020-06-20","521","12","470","34","0","5","11750",
"2020-06-21","521","13","470","34","0","4","11750",
"2020-06-22","523","13","470","34","0","6","11940",
"2020-06-23","523","12","471","34","0","6","12180",
"2020-06-24","523","9","474","34","0","6","12180",
"2020-06-25","523","9","474","34","0","6","12363",
"2020-06-26","523","8","475","34","0","6","12445",
"2020-06-27","523","7","476","34","0","6","12445",
"2020-06-28","523","6","477","34","0","6","12445",
"2020-06-29","523","6","477","34","0","6","12620",
"2020-06-30","524","6","478","34","0","6","12620",
"2020-07-01","525","7","478","34","0","6","12859",
"2020-07-02","525","7","478","34","0","6","12859",
"2020-07-03","525","7","478","34","0","6","13199",
"2020-07-04","525","7","478","34","0","6","13199",
"2020-07-05","525","5","480","34","0","6","13199",
"2020-07-06","525","5","480","34","0","6","13413",
"2020-07-07","526","7","480","34","0","5","13558",
"2020-07-08","526","7","480","34","0","5","13693",
"2020-07-09","528","8","481","34","0","5","13813",
"2020-07-10","528","8","481","34","0","5","13813",
"2020-07-11","528","7","482","34","0","5","13977",
"2020-07-12","528","8","483","34","0","3","13977",
"2020-07-13","530","8","483","34","0","5","14450",
"2020-07-14","532","10","483","34","0","5","14487",
"2020-07-15","536","15","483","34","0","4","14633",
"2020-07-16","538","29","485","34","0","10","14633",
"2020-07-17","569","49","486","34","0","0","14781",
"2020-07-18","588","68","486","34","0","0","15158",
"2020-07-19","613","90","489","34","0","0","15158",
"2020-07-20","640","111","489","34","0","6","16041",
"2020-07-21","655","130","491","34","0","0","16041",
"2020-07-22","714","181","493","35","0","5","16828",
"2020-07-23","772","241","496","35","1","0","16828",
"2020-07-24","869","336","498","35","2","0","16828",
"2020-07-25","932","392","505","35","2","0","16828",
"2020-07-26","1010","469","506","35","2","0","16828",
"2020-07-27","1096","544","511","35","2","6","19918",
"2020-07-28","1172","608","523","35","2","6","20356",
"2020-07-29","1282","712","529","35","2","6","21258",
"2020-07-30","1449","857","551","35","2","6","22156",
"2020-07-31","1609","1015","553","35","2","6","22910",
"2020-08-01","1796","1183","578","35","4","0","22910",
"2020-08-02","1977","943","603","35","4","396","22910",
"2020-08-03","2143","1199","620","35","5","289","25979",
"2020-08-04","2268","1560","667","35","5","6","26790",
"2020-08-05","2388","1563","783","35","7","7","27736",
"2020-08-06","2535","1569","917","37","7","12","29046",
"2020-08-07","2675","1592","1040","37","6","6","29046",
"2020-08-08","2675","1637","1153","37","7","152","29908",
"2020-08-09","2675","1782","1185","37","8","329","29908",
"2020-08-10","2675","1855","1241","37","9","458","29908",
"2020-08-11","3239","1852","1345","37","10","5","34011",
"2020-08-12","3306","1746","1518","37","14","5","34291",
"2020-08-13","3392","1654","1695","38","13","5","35728",
"2020-08-14","3454","1653","1804","39","13","42","37041",
"2020-08-15","3454","1632","1913","39","13","130","37041",
"2020-08-16","3454","1488","2125","43","13","202","37041",
"2020-08-17","3744","1447","2248","44","13","5","39879",
"2020-08-18","3787","1323","2414","45","15","5","40609",
"2020-08-19","3843","1236","2557","46","15","4","41111",
"2020-08-20","3900","1187","2661","48","16","4","42122",
"2020-08-21","3978","1192","2737","49","22","0","43307",
"2020-08-22","4068","1162","2854","52","24","0","43307",
"2020-08-23","4137","1117","2966","54","26","0","46351",
"2020-08-24","4187","1109","3021","57","26","0","47113",
"2020-08-25","4230","1023","3150","57","22","0","47890",
"2020-08-26","4273","886","3329","58","21","0","48872",
"2020-08-27","4323","833","3432","58","16","0","49574",
"2020-08-28","4362","789","3513","60","16","0","50408",
"2020-08-29","4412","778","3573","61","19","0","51517",
"2020-08-30","4457","749","3644","64","18","0","52636",
"2020-08-31","4493","722","3706","65","18","0","53096",
"2020-09-01","4535","723","3747","65","17","0","54272",
"2020-09-02","4559","684","3807","68","16","0","55193",
"2020-09-03","4586","650","3865","71","18","0","56018",
"2020-09-04","4604","605","3927","72","18","0","56596",
"2020-09-05","4637","587","3977","73","19","0","57481",
"2020-09-06","4671","565","4033","73","18","0","57949",
"2020-09-07","4698","536","4088","74","15","0","58530",
"2020-09-08","4719","489","4156","74","15","0","59105",
"2020-09-09","4730","444","4212","74","17","0","60130",
"2020-09-10","4751","421","4256","74","17","0","60763",
"2020-09-11","4787","403","4310","74","17","0","61474",
"2020-09-12","4835","394","4366","75","15","0","62057",
"2020-09-13","4864","387","4402","75","15","0","62277",
"2020-09-14","4897","398","4423","76","16","0","62807",
"2020-09-15","4920","392","4452","76","19","0","64208",
"2020-09-16","4941","371","4493","77","19","0","64981",
